pokemon,type
snorlax-gmax,normal
zorua-hisui,normal
zoroark-hisui,normal
oinkologne-female,normal
dudunsparce-three-segment,normal
maushold-family-of-three,normal
squawkabilly-blue-plumage,normal
squawkabilly-yellow-plumage,normal
squawkabilly-white-plumage,normal
ursaluna-bloodmoon,normal
terapagos-terastal,normal
terapagos-stellar,normal
mankey,fighting
primeape,fighting
poliwrath,fighting
machop,fighting
machoke,fighting
machamp,fighting
hitmonlee,fighting
hitmonchan,fighting
heracross,fighting
tyrogue,fighting
hitmontop,fighting
combusken,fighting
blaziken,fighting
breloom,fighting
makuhita,fighting
hariyama,fighting
meditite,fighting
medicham,fighting
monferno,fighting
infernape,fighting
riolu,fighting
lucario,fighting
croagunk,fighting
toxicroak,fighting
gallade,fighting
pignite,fighting
emboar,fighting
timburr,fighting
gurdurr,fighting
conkeldurr,fighting
throh,fighting
sawk,fighting
scraggy,fighting
scrafty,fighting
mienfoo,fighting
mienshao,fighting
cobalion,fighting
terrakion,fighting
virizion,fighting
keldeo-ordinary,fighting
chesnaught,fighting
pancham,fighting
pangoro,fighting
hawlucha,fighting
crabrawler,fighting
crabominable,fighting
stufful,fighting
bewear,fighting
passimian,fighting
hakamo-o,fighting
kommo-o,fighting
buzzwole,fighting
pheromosa,fighting
marshadow,fighting
clobbopus,fighting
grapploct,fighting
sirfetchd,fighting
falinks,fighting
zamazenta,fighting
kubfu,fighting
urshifu-single-strike,fighting
sneasler,fighting
quaquaval,fighting
pawmo,fighting
pawmot,fighting
flamigo,fighting
annihilape,fighting
great-tusk,fighting
slither-wing,fighting
iron-hands,fighting
iron-valiant,fighting
koraidon,fighting
okidogi,fighting
meloetta-pirouette,fighting
keldeo-resolute,fighting
mewtwo-mega-x,fighting
heracross-mega,fighting
blaziken-mega,fighting
medicham-mega,fighting
lucario-mega,fighting
gallade-mega,fighting
lopunny-mega,fighting
kommo-o-totem,fighting
farfetchd-galar,fighting
zapdos-galar,fighting
zamazenta-crowned,fighting
urshifu-rapid-strike,fighting
machamp-gmax,fighting
urshifu-single-strike-gmax,fighting
urshifu-rapid-strike-gmax,fighting
sneasel-hisui,fighting
lilligant-hisui,fighting
decidueye-hisui,fighting
tauros-paldea-combat-breed,fighting
tauros-paldea-blaze-breed,fighting
tauros-paldea-aqua-breed,fighting
koraidon-limited-build,fighting
koraidon-sprinting-build,fighting
koraidon-swimming-build,fighting
koraidon-gliding-build,fighting
charizard,flying
butterfree,flying
pidgey,flying
pidgeotto,flying
pidgeot,flying
spearow,flying
fearow,flying
zubat,flying
golbat,flying
farfetchd,flying
doduo,flying
dodrio,flying
scyther,flying
gyarados,flying
aerodactyl,flying
articuno,flying
zapdos,flying
moltres,flying
dragonite,flying
hoothoot,flying
noctowl,flying
ledyba,flying
ledian,flying
crobat,flying
togetic,flying
natu,flying
xatu,flying
hoppip,flying
skiploom,flying
jumpluff,flying
yanma,flying
murkrow,flying
gligar,flying
delibird,flying
mantine,flying
skarmory,flying
lugia,flying
ho-oh,flying
beautifly,flying
taillow,flying
swellow,flying
wingull,flying
pelipper,flying
masquerain,flying
ninjask,flying
swablu,flying
altaria,flying
tropius,flying
salamence,flying
rayquaza,flying
starly,flying
staravia,flying
staraptor,flying
mothim,flying
combee,flying
vespiquen,flying
drifloon,flying
drifblim,flying
honchkrow,flying
chatot,flying
mantyke,flying
togekiss,flying
yanmega,flying
gliscor,flying
pidove,flying
tranquill,flying
unfezant,flying
woobat,flying
swoobat,flying
sigilyph,flying
archen,flying
archeops,flying
ducklett,flying
swanna,flying
emolga,flying
rufflet,flying
braviary,flying
vullaby,flying
mandibuzz,flying
tornadus-incarnate,flying
thundurus-incarnate,flying
landorus-incarnate,flying
fletchling,flying
fletchinder,flying
talonflame,flying
vivillon,flying
hawlucha,flying
noibat,flying
noivern,flying
yveltal,flying
rowlet,flying
dartrix,flying
pikipek,flying
trumbeak,flying
toucannon,flying
oricorio-baile,flying
minior-red-meteor,flying
celesteela,flying
rookidee,flying
corvisquire,flying
corviknight,flying
cramorant,flying
enamorus-incarnate,flying
squawkabilly-green-plumage,flying
wattrel,flying
kilowattrel,flying
bombirdier,flying
flamigo,flying
iron-jugulis,flying
shaymin-sky,flying
rotom-fan,flying
tornadus-therian,flying
thundurus-therian,flying
landorus-therian,flying
charizard-mega-y,flying
pinsir-mega,flying
aerodactyl-mega,flying
pidgeot-mega,flying
rayquaza-mega,flying
salamence-mega,flying
oricorio-pom-pom,flying
oricorio-pau,flying
oricorio-sensu,flying
minior-orange-meteor,flying
minior-yellow-meteor,flying
minior-green-meteor,flying
minior-blue-meteor,flying
minior-indigo-meteor,flying
minior-violet-meteor,flying
minior-red,flying
minior-orange,flying
minior-yellow,flying
minior-green,flying
minior-blue,flying
minior-indigo,flying
minior-violet,flying
articuno-galar,flying
zapdos-galar,flying
moltres-galar,flying
cramorant-gulping,flying
cramorant-gorging,flying
charizard-gmax,flying
butterfree-gmax,flying
corviknight-gmax,flying
braviary-hisui,flying
enamorus-therian,flying
squawkabilly-blue-plumage,flying
squawkabilly-yellow-plumage,flying
squawkabilly-white-plumage,flying
bulbasaur,poison
ivysaur,poison
venusaur,poison
weedle,poison
kakuna,poison
beedrill,poison
ekans,poison
arbok,poison
nidoran-f,poison
nidorina,poison
nidoqueen,poison
nidoran-m,poison
nidorino,poison
nidoking,poison
zubat,poison
golbat,poison
oddish,poison
gloom,poison
vileplume,poison
venonat,poison
venomoth,poison
bellsprout,poison
weepinbell,poison
victreebel,poison
tentacool,poison
tentacruel,poison
grimer,poison
muk,poison
gastly,poison
haunter,poison
gengar,poison
koffing,poison
weezing,poison
spinarak,poison
ariados,poison
crobat,poison
qwilfish,poison
dustox,poison
roselia,poison
gulpin,poison
swalot,poison
seviper,poison
budew,poison
roserade,poison
stunky,poison
skuntank,poison
skorupi,poison
drapion,poison
croagunk,poison
toxicroak,poison
venipede,poison
whirlipede,poison
scolipede,poison
trubbish,poison
garbodor,poison
foongus,poison
amoonguss,poison
skrelp,poison
dragalge,poison
mareanie,poison
toxapex,poison
salandit,poison
salazzle,poison
nihilego,poison
poipole,poison
naganadel,poison
toxel,poison
toxtricity-amped,poison
eternatus,poison
sneasler,poison
overqwil,poison
shroodle,poison
grafaiai,poison
varoom,poison
revavroom,poison
glimmet,poison
glimmora,poison
clodsire,poison
iron-moth,poison
okidogi,poison
munkidori,poison
fezandipiti,poison
pecharunt,poison
venusaur-mega,poison
gengar-mega,poison
beedrill-mega,poison
grimer-alola,poison
muk-alola,poison
salazzle-totem,poison
slowbro-galar,poison
weezing-galar,poison
slowking-galar,poison
toxtricity-low-key,poison
eternatus-eternamax,poison
venusaur-gmax,poison
gengar-gmax,poison
garbodor-gmax,poison
toxtricity-amped-gmax,poison
toxtricity-low-key-gmax,poison
qwilfish-hisui,poison
sneasel-hisui,poison
wooper-paldea,poison
sandshrew,ground
sandslash,ground
nidoqueen,ground
nidoking,ground
diglett,ground
dugtrio,ground
geodude,ground
graveler,ground
golem,ground
onix,ground
cubone,ground
marowak,ground
rhyhorn,ground
rhydon,ground
wooper,ground
quagsire,ground
gligar,ground
steelix,ground
swinub,ground
piloswine,ground
phanpy,ground
donphan,ground
larvitar,ground
pupitar,ground
marshtomp,ground
swampert,ground
nincada,ground
numel,ground
camerupt,ground
trapinch,ground
vibrava,ground
flygon,ground
barboach,ground
whiscash,ground
baltoy,ground
claydol,ground
groudon,ground
torterra,ground
gastrodon,ground
gible,ground
gabite,ground
garchomp,ground
hippopotas,ground
hippowdon,ground
rhyperior,ground
gliscor,ground
mamoswine,ground
drilbur,ground
excadrill,ground
palpitoad,ground
seismitoad,ground
sandile,ground
krokorok,ground
krookodile,ground
stunfisk,ground
golett,ground
golurk,ground
landorus-incarnate,ground
diggersby,ground
zygarde-50,ground
mudbray,ground
mudsdale,ground
sandygast,ground
palossand,ground
silicobra,ground
sandaconda,ground
runerigus,ground
ursaluna,ground
toedscool,ground
toedscruel,ground
clodsire,ground
great-tusk,ground
sandy-shocks,ground
iron-treads,ground
ting-lu,ground
wormadam-sandy,ground
landorus-therian,ground
garchomp-mega,ground
swampert-mega,ground
steelix-mega,ground
groudon-primal,ground
camerupt-mega,ground
diglett-alola,ground
dugtrio-alola,ground
zygarde-10-power-construct,ground
zygarde-50-power-construct,ground
zygarde-complete,ground
yamask-galar,ground
stunfisk-galar,ground
zygarde-10,ground
sandaconda-gmax,ground
wooper-paldea,ground
ursaluna-bloodmoon,ground
geodude,rock
graveler,rock
golem,rock
onix,rock
rhyhorn,rock
rhydon,rock
omanyte,rock
omastar,rock
kabuto,rock
kabutops,rock
aerodactyl,rock
sudowoodo,rock
shuckle,rock
magcargo,rock
corsola,rock
larvitar,rock
pupitar,rock
tyranitar,rock
nosepass,rock
aron,rock
lairon,rock
aggron,rock
lunatone,rock
solrock,rock
lileep,rock
cradily,rock
anorith,rock
armaldo,rock
relicanth,rock
regirock,rock
cranidos,rock
rampardos,rock
shieldon,rock
bastiodon,rock
bonsly,rock
rhyperior,rock
probopass,rock
roggenrola,rock
boldore,rock
gigalith,rock
dwebble,rock
crustle,rock
tirtouga,rock
carracosta,rock
archen,rock
archeops,rock
terrakion,rock
binacle,rock
barbaracle,rock
tyrunt,rock
tyrantrum,rock
amaura,rock
aurorus,rock
carbink,rock
diancie,rock
rockruff,rock
lycanroc-midday,rock
minior-red-meteor,rock
nihilego,rock
stakataka,rock
drednaw,rock
rolycoly,rock
carkol,rock
coalossal,rock
stonjourner,rock
kleavor,rock
nacli,rock
naclstack,rock
garganacl,rock
klawf,rock
glimmet,rock
glimmora,rock
iron-thorns,rock
iron-boulder,rock
aerodactyl-mega,rock
tyranitar-mega,rock
diancie-mega,rock
geodude-alola,rock
graveler-alola,rock
golem-alola,rock
lycanroc-midnight,rock
minior-orange-meteor,rock
minior-yellow-meteor,rock
minior-green-meteor,rock
minior-blue-meteor,rock
minior-indigo-meteor,rock
minior-violet-meteor,rock
minior-red,rock
minior-orange,rock
minior-yellow,rock
minior-green,rock
minior-blue,rock
minior-indigo,rock
minior-violet,rock
rockruff-own-tempo,rock
lycanroc-dusk,rock
drednaw-gmax,rock
coalossal-gmax,rock
growlithe-hisui,rock
arcanine-hisui,rock
avalugg-hisui,rock
ogerpon-cornerstone-mask,rock
caterpie,bug
metapod,bug
butterfree,bug
weedle,bug
kakuna,bug
beedrill,bug
paras,bug
parasect,bug
venonat,bug
venomoth,bug
scyther,bug
pinsir,bug
ledyba,bug
ledian,bug
spinarak,bug
ariados,bug
yanma,bug
pineco,bug
forretress,bug
scizor,bug
shuckle,bug
heracross,bug
wurmple,bug
silcoon,bug
beautifly,bug
cascoon,bug
dustox,bug
surskit,bug
masquerain,bug
nincada,bug
ninjask,bug
shedinja,bug
volbeat,bug
illumise,bug
anorith,bug
armaldo,bug
kricketot,bug
kricketune,bug
burmy,bug
wormadam-plant,bug
mothim,bug
combee,bug
vespiquen,bug
skorupi,bug
yanmega,bug
sewaddle,bug
swadloon,bug
leavanny,bug
venipede,bug
whirlipede,bug
scolipede,bug
dwebble,bug
crustle,bug
karrablast,bug
escavalier,bug
joltik,bug
galvantula,bug
shelmet,bug
accelgor,bug
durant,bug
larvesta,bug
volcarona,bug
genesect,bug
scatterbug,bug
spewpa,bug
vivillon,bug
grubbin,bug
charjabug,bug
vikavolt,bug
cutiefly,bug
ribombee,bug
dewpider,bug
araquanid,bug
wimpod,bug
golisopod,bug
buzzwole,bug
pheromosa,bug
blipbug,bug
dottler,bug
orbeetle,bug
sizzlipede,bug
centiskorch,bug
snom,bug
frosmoth,bug
kleavor,bug
tarountula,bug
spidops,bug
nymble,bug
lokix,bug
rellor,bug
rabsca,bug
slither-wing,bug
wormadam-sandy,bug
wormadam-trash,bug
pinsir-mega,bug
scizor-mega,bug
heracross-mega,bug
beedrill-mega,bug
vikavolt-totem,bug
ribombee-totem,bug
araquanid-totem,bug
butterfree-gmax,bug
orbeetle-gmax,bug
centiskorch-gmax,bug
gastly,ghost
haunter,ghost
gengar,ghost
misdreavus,ghost
shedinja,ghost
sableye,ghost
shuppet,ghost
banette,ghost
duskull,ghost
dusclops,ghost
drifloon,ghost
drifblim,ghost
mismagius,ghost
spiritomb,ghost
dusknoir,ghost
froslass,ghost
rotom,ghost
giratina-altered,ghost
yamask,ghost
cofagrigus,ghost
frillish,ghost
jellicent,ghost
litwick,ghost
lampent,ghost
chandelure,ghost
golett,ghost
golurk,ghost
honedge,ghost
doublade,ghost
aegislash-shield,ghost
phantump,ghost
trevenant,ghost
pumpkaboo-average,ghost
gourgeist-average,ghost
hoopa,ghost
decidueye,ghost
sandygast,ghost
palossand,ghost
mimikyu-disguised,ghost
dhelmise,ghost
lunala,ghost
marshadow,ghost
blacephalon,ghost
sinistea,ghost
polteageist,ghost
cursola,ghost
runerigus,ghost
dreepy,ghost
drakloak,ghost
dragapult,ghost
spectrier,ghost
basculegion-male,ghost
skeledirge,ghost
ceruledge,ghost
bramblin,ghost
brambleghast,ghost
greavard,ghost
houndstone,ghost
annihilape,ghost
flutter-mane,ghost
gimmighoul,ghost
gholdengo,ghost
poltchageist,ghost
sinistcha,ghost
pecharunt,ghost
giratina-origin,ghost
aegislash-blade,ghost
pumpkaboo-small,ghost
pumpkaboo-large,ghost
pumpkaboo-super,ghost
gourgeist-small,ghost
gourgeist-large,ghost
gourgeist-super,ghost
gengar-mega,ghost
banette-mega,ghost
sableye-mega,ghost
marowak-alola,ghost
oricorio-sensu,ghost
mimikyu-busted,ghost
mimikyu-totem-disguised,ghost
mimikyu-totem-busted,ghost
marowak-totem,ghost
necrozma-dawn,ghost
corsola-galar,ghost
yamask-galar,ghost
calyrex-shadow,ghost
gengar-gmax,ghost
typhlosion-hisui,ghost
zorua-hisui,ghost
zoroark-hisui,ghost
basculegion-female,ghost
gimmighoul-roaming,ghost
magnemite,steel
magneton,steel
forretress,steel
steelix,steel
scizor,steel
skarmory,steel
mawile,steel
aron,steel
lairon,steel
aggron,steel
beldum,steel
metang,steel
metagross,steel
registeel,steel
jirachi,steel
empoleon,steel
shieldon,steel
bastiodon,steel
bronzor,steel
bronzong,steel
lucario,steel
magnezone,steel
probopass,steel
dialga,steel
heatran,steel
excadrill,steel
escavalier,steel
ferroseed,steel
ferrothorn,steel
klink,steel
klang,steel
klinklang,steel
pawniard,steel
bisharp,steel
durant,steel
cobalion,steel
genesect,steel
honedge,steel
doublade,steel
aegislash-shield,steel
klefki,steel
togedemaru,steel
solgaleo,steel
celesteela,steel
kartana,steel
magearna,steel
stakataka,steel
meltan,steel
melmetal,steel
corviknight,steel
perrserker,steel
cufant,steel
copperajah,steel
duraludon,steel
tinkatink,steel
tinkatuff,steel
tinkaton,steel
varoom,steel
revavroom,steel
orthworm,steel
kingambit,steel
iron-treads,steel
gholdengo,steel
archaludon,steel
iron-crown,steel
wormadam-trash,steel
aegislash-blade,steel
scizor-mega,steel
mawile-mega,steel
aggron-mega,steel
lucario-mega,steel
steelix-mega,steel
metagross-mega,steel
sandshrew-alola,steel
sandslash-alola,steel
diglett-alola,steel
dugtrio-alola,steel
magearna-original,steel
togedemaru-totem,steel
necrozma-dusk,steel
meowth-galar,steel
stunfisk-galar,steel
zacian-crowned,steel
zamazenta-crowned,steel
melmetal-gmax,steel
corviknight-gmax,steel
copperajah-gmax,steel
duraludon-gmax,steel
sliggoo-hisui,steel
goodra-hisui,steel
dialga-origin,steel
charmander,fire
charmeleon,fire
charizard,fire
vulpix,fire
ninetales,fire
growlithe,fire
arcanine,fire
ponyta,fire
rapidash,fire
magmar,fire
flareon,fire
moltres,fire
cyndaquil,fire
quilava,fire
typhlosion,fire
slugma,fire
magcargo,fire
houndour,fire
houndoom,fire
magby,fire
entei,fire
ho-oh,fire
torchic,fire
combusken,fire
blaziken,fire
numel,fire
camerupt,fire
torkoal,fire
chimchar,fire
monferno,fire
infernape,fire
magmortar,fire
heatran,fire
victini,fire
tepig,fire
pignite,fire
emboar,fire
pansear,fire
simisear,fire
darumaka,fire
darmanitan-standard,fire
litwick,fire
lampent,fire
chandelure,fire
heatmor,fire
larvesta,fire
volcarona,fire
reshiram,fire
fennekin,fire
braixen,fire
delphox,fire
fletchinder,fire
talonflame,fire
litleo,fire
pyroar,fire
volcanion,fire
litten,fire
torracat,fire
incineroar,fire
oricorio-baile,fire
salandit,fire
salazzle,fire
turtonator,fire
blacephalon,fire
scorbunny,fire
raboot,fire
cinderace,fire
carkol,fire
coalossal,fire
sizzlipede,fire
centiskorch,fire
fuecoco,fire
crocalor,fire
skeledirge,fire
charcadet,fire
armarouge,fire
ceruledge,fire
scovillain,fire
iron-moth,fire
chi-yu,fire
gouging-fire,fire
rotom-heat,fire
castform-sunny,fire
darmanitan-zen,fire
charizard-mega-x,fire
charizard-mega-y,fire
houndoom-mega,fire
blaziken-mega,fire
groudon-primal,fire
camerupt-mega,fire
marowak-alola,fire
salazzle-totem,fire
marowak-totem,fire
darmanitan-galar-zen,fire
charizard-gmax,fire
cinderace-gmax,fire
coalossal-gmax,fire
centiskorch-gmax,fire
growlithe-hisui,fire
arcanine-hisui,fire
typhlosion-hisui,fire
tauros-paldea-blaze-breed,fire
ogerpon-hearthflame-mask,fire
squirtle,water
wartortle,water
blastoise,water
psyduck,water
golduck,water
poliwag,water
poliwhirl,water
poliwrath,water
tentacool,water
tentacruel,water
slowpoke,water
slowbro,water
seel,water
dewgong,water
shellder,water
cloyster,water
krabby,water
kingler,water
horsea,water
seadra,water
goldeen,water
seaking,water
staryu,water
starmie,water
magikarp,water
gyarados,water
lapras,water
vaporeon,water
omanyte,water
omastar,water
kabuto,water
kabutops,water
totodile,water
croconaw,water
feraligatr,water
chinchou,water
lanturn,water
marill,water
azumarill,water
politoed,water
wooper,water
quagsire,water
slowking,water
qwilfish,water
corsola,water
remoraid,water
octillery,water
mantine,water
kingdra,water
suicune,water
mudkip,water
marshtomp,water
swampert,water
lotad,water
lombre,water
ludicolo,water
wingull,water
pelipper,water
surskit,water
carvanha,water
sharpedo,water
wailmer,water
wailord,water
barboach,water
whiscash,water
corphish,water
crawdaunt,water
feebas,water
milotic,water
spheal,water
sealeo,water
walrein,water
clamperl,water
huntail,water
gorebyss,water
relicanth,water
luvdisc,water
kyogre,water
piplup,water
prinplup,water
empoleon,water
bibarel,water
buizel,water
floatzel,water
shellos,water
gastrodon,water
finneon,water
lumineon,water
mantyke,water
palkia,water
phione,water
manaphy,water
oshawott,water
dewott,water
samurott,water
panpour,water
simipour,water
tympole,water
palpitoad,water
seismitoad,water
basculin-red-striped,water
tirtouga,water
carracosta,water
ducklett,water
swanna,water
frillish,water
jellicent,water
alomomola,water
keldeo-ordinary,water
froakie,water
frogadier,water
greninja,water
binacle,water
barbaracle,water
skrelp,water
clauncher,water
clawitzer,water
volcanion,water
popplio,water
brionne,water
primarina,water
wishiwashi-solo,water
mareanie,water
toxapex,water
dewpider,water
araquanid,water
wimpod,water
golisopod,water
pyukumuku,water
bruxish,water
tapu-fini,water
sobble,water
drizzile,water
inteleon,water
chewtle,water
drednaw,water
cramorant,water
arrokuda,water
barraskewda,water
dracovish,water
arctovish,water
basculegion-male,water
quaxly,water
quaxwell,water
quaquaval,water
wiglett,water
wugtrio,water
finizen,water
palafin-zero,water
veluza,water
dondozo,water
tatsugiri-curly,water
iron-bundle,water
walking-wake,water
rotom-wash,water
castform-rainy,water
basculin-blue-striped,water
keldeo-resolute,water
blastoise-mega,water
gyarados-mega,water
swampert-mega,water
sharpedo-mega,water
slowbro-mega,water
kyogre-primal,water
greninja-battle-bond,water
greninja-ash,water
wishiwashi-school,water
araquanid-totem,water
cramorant-gulping,water
cramorant-gorging,water
urshifu-rapid-strike,water
blastoise-gmax,water
kingler-gmax,water
lapras-gmax,water
inteleon-gmax,water
drednaw-gmax,water
urshifu-rapid-strike-gmax,water
samurott-hisui,water
palkia-origin,water
basculin-white-striped,water
basculegion-female,water
tauros-paldea-aqua-breed,water
palafin-hero,water
tatsugiri-droopy,water
tatsugiri-stretchy,water
ogerpon-wellspring-mask,water
bulbasaur,grass
ivysaur,grass
venusaur,grass
oddish,grass
gloom,grass
vileplume,grass
paras,grass
parasect,grass
bellsprout,grass
weepinbell,grass
victreebel,grass
exeggcute,grass
exeggutor,grass
tangela,grass
chikorita,grass
bayleef,grass
meganium,grass
bellossom,grass
hoppip,grass
skiploom,grass
jumpluff,grass
sunkern,grass
sunflora,grass
celebi,grass
treecko,grass
grovyle,grass
sceptile,grass
lotad,grass
lombre,grass
ludicolo,grass
seedot,grass
nuzleaf,grass
shiftry,grass
shroomish,grass
breloom,grass
roselia,grass
cacnea,grass
cacturne,grass
lileep,grass
cradily,grass
tropius,grass
turtwig,grass
grotle,grass
torterra,grass
budew,grass
roserade,grass
wormadam-plant,grass
cherubi,grass
cherrim,grass
carnivine,grass
snover,grass
abomasnow,grass
tangrowth,grass
leafeon,grass
shaymin-land,grass
snivy,grass
servine,grass
serperior,grass
pansage,grass
simisage,grass
sewaddle,grass
swadloon,grass
leavanny,grass
cottonee,grass
whimsicott,grass
petilil,grass
lilligant,grass
maractus,grass
deerling,grass
sawsbuck,grass
foongus,grass
amoonguss,grass
ferroseed,grass
ferrothorn,grass
virizion,grass
chespin,grass
quilladin,grass
chesnaught,grass
skiddo,grass
gogoat,grass
phantump,grass
trevenant,grass
pumpkaboo-average,grass
gourgeist-average,grass
rowlet,grass
dartrix,grass
decidueye,grass
fomantis,grass
lurantis,grass
morelull,grass
shiinotic,grass
bounsweet,grass
steenee,grass
tsareena,grass
dhelmise,grass
tapu-bulu,grass
kartana,grass
grookey,grass
thwackey,grass
rillaboom,grass
gossifleur,grass
eldegoss,grass
applin,grass
flapple,grass
appletun,grass
zarude,grass
calyrex,grass
sprigatito,grass
floragato,grass
meowscarada,grass
smoliv,grass
dolliv,grass
arboliva,grass
bramblin,grass
brambleghast,grass
toedscool,grass
toedscruel,grass
capsakid,grass
scovillain,grass
brute-bonnet,grass
wo-chien,grass
iron-leaves,grass
dipplin,grass
poltchageist,grass
sinistcha,grass
ogerpon,grass
hydrapple,grass
shaymin-sky,grass
rotom-mow,grass
pumpkaboo-small,grass
pumpkaboo-large,grass
pumpkaboo-super,grass
gourgeist-small,grass
gourgeist-large,grass
gourgeist-super,grass
venusaur-mega,grass
abomasnow-mega,grass
sceptile-mega,grass
exeggutor-alola,grass
lurantis-totem,grass
zarude-dada,grass
venusaur-gmax,grass
rillaboom-gmax,grass
flapple-gmax,grass
appletun-gmax,grass
voltorb-hisui,grass
electrode-hisui,grass
lilligant-hisui,grass
decidueye-hisui,grass
ogerpon-wellspring-mask,grass
ogerpon-hearthflame-mask,grass
ogerpon-cornerstone-mask,grass
pikachu,electric
raichu,electric
magnemite,electric
magneton,electric
voltorb,electric
electrode,electric
electabuzz,electric
jolteon,electric
zapdos,electric
chinchou,electric
lanturn,electric
pichu,electric
mareep,electric
flaaffy,electric
ampharos,electric
elekid,electric
raikou,electric
electrike,electric
manectric,electric
plusle,electric
minun,electric
shinx,electric
luxio,electric
luxray,electric
pachirisu,electric
magnezone,electric
electivire,electric
rotom,electric
blitzle,electric
zebstrika,electric
emolga,electric
joltik,electric
galvantula,electric
tynamo,electric
eelektrik,electric
eelektross,electric
stunfisk,electric
thundurus-incarnate,electric
zekrom,electric
helioptile,electric
heliolisk,electric
dedenne,electric
charjabug,electric
vikavolt,electric
togedemaru,electric
tapu-koko,electric
xurkitree,electric
zeraora,electric
yamper,electric
boltund,electric
toxel,electric
toxtricity-amped,electric
pincurchin,electric
morpeko-full-belly,electric
dracozolt,electric
arctozolt,electric
regieleki,electric
pawmi,electric
pawmo,electric
pawmot,electric
tadbulb,electric
bellibolt,electric
wattrel,electric
kilowattrel,electric
sandy-shocks,electric
iron-hands,electric
iron-thorns,electric
miraidon,electric
raging-bolt,electric
rotom-heat,electric
rotom-wash,electric
rotom-frost,electric
rotom-fan,electric
rotom-mow,electric
thundurus-therian,electric
ampharos-mega,electric
manectric-mega,electric
pikachu-rock-star,electric
pikachu-belle,electric
pikachu-pop-star,electric
pikachu-phd,electric
pikachu-libre,electric
pikachu-cosplay,electric
pikachu-original-cap,electric
pikachu-hoenn-cap,electric
pikachu-sinnoh-cap,electric
pikachu-unova-cap,electric
pikachu-kalos-cap,electric
pikachu-alola-cap,electric
raichu-alola,electric
geodude-alola,electric
graveler-alola,electric
golem-alola,electric
vikavolt-totem,electric
oricorio-pom-pom,electric
pikachu-partner-cap,electric
togedemaru-totem,electric
pikachu-starter,electric
pikachu-world-cap,electric
toxtricity-low-key,electric
morpeko-hangry,electric
pikachu-gmax,electric
toxtricity-amped-gmax,electric
toxtricity-low-key-gmax,electric
voltorb-hisui,electric
electrode-hisui,electric
miraidon-low-power-mode,electric
miraidon-drive-mode,electric
miraidon-aquatic-mode,electric
miraidon-glide-mode,electric
abra,psychic
kadabra,psychic
alakazam,psychic
slowpoke,psychic
slowbro,psychic
drowzee,psychic
hypno,psychic
exeggcute,psychic
exeggutor,psychic
starmie,psychic
mr-mime,psychic
jynx,psychic
mewtwo,psychic
mew,psychic
natu,psychic
xatu,psychic
espeon,psychic
slowking,psychic
unown,psychic
wobbuffet,psychic
girafarig,psychic
smoochum,psychic
lugia,psychic
celebi,psychic
ralts,psychic
kirlia,psychic
gardevoir,psychic
meditite,psychic
medicham,psychic
spoink,psychic
