specie_name,specie_url,generation,specie_id
slowpoke,https://pokeapi.co/api/v2/pokemon-species/79/,generation-i,79
magnemite,https://pokeapi.co/api/v2/pokemon-species/81/,generation-i,81
farfetchd,https://pokeapi.co/api/v2/pokemon-species/83/,generation-i,83
doduo,https://pokeapi.co/api/v2/pokemon-species/84/,generation-i,84
seel,https://pokeapi.co/api/v2/pokemon-species/86/,generation-i,86
grimer,https://pokeapi.co/api/v2/pokemon-species/88/,generation-i,88
shellder,https://pokeapi.co/api/v2/pokemon-species/90/,generation-i,90
gastly,https://pokeapi.co/api/v2/pokemon-species/92/,generation-i,92
onix,https://pokeapi.co/api/v2/pokemon-species/95/,generation-i,95
drowzee,https://pokeapi.co/api/v2/pokemon-species/96/,generation-i,96
krabby,https://pokeapi.co/api/v2/pokemon-species/98/,generation-i,98
voltorb,https://pokeapi.co/api/v2/pokemon-species/100/,generation-i,100
exeggcute,https://pokeapi.co/api/v2/pokemon-species/102/,generation-i,102
cubone,https://pokeapi.co/api/v2/pokemon-species/104/,generation-i,104
lickitung,https://pokeapi.co/api/v2/pokemon-species/108/,generation-i,108
koffing,https://pokeapi.co/api/v2/pokemon-species/109/,generation-i,109
rhyhorn,https://pokeapi.co/api/v2/pokemon-species/111/,generation-i,111
tangela,https://pokeapi.co/api/v2/pokemon-species/114/,generation-i,114
kangaskhan,https://pokeapi.co/api/v2/pokemon-species/115/,generation-i,115
horsea,https://pokeapi.co/api/v2/pokemon-species/116/,generation-i,116
goldeen,https://pokeapi.co/api/v2/pokemon-species/118/,generation-i,118
staryu,https://pokeapi.co/api/v2/pokemon-species/120/,generation-i,120
scyther,https://pokeapi.co/api/v2/pokemon-species/123/,generation-i,123
pinsir,https://pokeapi.co/api/v2/pokemon-species/127/,generation-i,127
tauros,https://pokeapi.co/api/v2/pokemon-species/128/,generation-i,128
magikarp,https://pokeapi.co/api/v2/pokemon-species/129/,generation-i,129
lapras,https://pokeapi.co/api/v2/pokemon-species/131/,generation-i,131
ditto,https://pokeapi.co/api/v2/pokemon-species/132/,generation-i,132
eevee,https://pokeapi.co/api/v2/pokemon-species/133/,generation-i,133
porygon,https://pokeapi.co/api/v2/pokemon-species/137/,generation-i,137
omanyte,https://pokeapi.co/api/v2/pokemon-species/138/,generation-i,138
kabuto,https://pokeapi.co/api/v2/pokemon-species/140/,generation-i,140
aerodactyl,https://pokeapi.co/api/v2/pokemon-species/142/,generation-i,142
articuno,https://pokeapi.co/api/v2/pokemon-species/144/,generation-i,144
zapdos,https://pokeapi.co/api/v2/pokemon-species/145/,generation-i,145
moltres,https://pokeapi.co/api/v2/pokemon-species/146/,generation-i,146
dratini,https://pokeapi.co/api/v2/pokemon-species/147/,generation-i,147
mewtwo,https://pokeapi.co/api/v2/pokemon-species/150/,generation-i,150
rapidash,https://pokeapi.co/api/v2/pokemon-species/78/,generation-i,78
slowbro,https://pokeapi.co/api/v2/pokemon-species/80/,generation-i,80
magneton,https://pokeapi.co/api/v2/pokemon-species/82/,generation-i,82
dodrio,https://pokeapi.co/api/v2/pokemon-species/85/,generation-i,85
dewgong,https://pokeapi.co/api/v2/pokemon-species/87/,generation-i,87
muk,https://pokeapi.co/api/v2/pokemon-species/89/,generation-i,89
cloyster,https://pokeapi.co/api/v2/pokemon-species/91/,generation-i,91
haunter,https://pokeapi.co/api/v2/pokemon-species/93/,generation-i,93
gengar,https://pokeapi.co/api/v2/pokemon-species/94/,generation-i,94
hypno,https://pokeapi.co/api/v2/pokemon-species/97/,generation-i,97
kingler,https://pokeapi.co/api/v2/pokemon-species/99/,generation-i,99
electrode,https://pokeapi.co/api/v2/pokemon-species/101/,generation-i,101
exeggutor,https://pokeapi.co/api/v2/pokemon-species/103/,generation-i,103
marowak,https://pokeapi.co/api/v2/pokemon-species/105/,generation-i,105
hitmonlee,https://pokeapi.co/api/v2/pokemon-species/106/,generation-i,106
hitmonchan,https://pokeapi.co/api/v2/pokemon-species/107/,generation-i,107
weezing,https://pokeapi.co/api/v2/pokemon-species/110/,generation-i,110
rhydon,https://pokeapi.co/api/v2/pokemon-species/112/,generation-i,112
chansey,https://pokeapi.co/api/v2/pokemon-species/113/,generation-i,113
seadra,https://pokeapi.co/api/v2/pokemon-species/117/,generation-i,117
seaking,https://pokeapi.co/api/v2/pokemon-species/119/,generation-i,119
starmie,https://pokeapi.co/api/v2/pokemon-species/121/,generation-i,121
mr-mime,https://pokeapi.co/api/v2/pokemon-species/122/,generation-i,122
jynx,https://pokeapi.co/api/v2/pokemon-species/124/,generation-i,124
electabuzz,https://pokeapi.co/api/v2/pokemon-species/125/,generation-i,125
magmar,https://pokeapi.co/api/v2/pokemon-species/126/,generation-i,126
gyarados,https://pokeapi.co/api/v2/pokemon-species/130/,generation-i,130
vaporeon,https://pokeapi.co/api/v2/pokemon-species/134/,generation-i,134
jolteon,https://pokeapi.co/api/v2/pokemon-species/135/,generation-i,135
flareon,https://pokeapi.co/api/v2/pokemon-species/136/,generation-i,136
omastar,https://pokeapi.co/api/v2/pokemon-species/139/,generation-i,139
kabutops,https://pokeapi.co/api/v2/pokemon-species/141/,generation-i,141
snorlax,https://pokeapi.co/api/v2/pokemon-species/143/,generation-i,143
dragonair,https://pokeapi.co/api/v2/pokemon-species/148/,generation-i,148
dragonite,https://pokeapi.co/api/v2/pokemon-species/149/,generation-i,149
mew,https://pokeapi.co/api/v2/pokemon-species/151/,generation-i,151
ivysaur,https://pokeapi.co/api/v2/pokemon-species/2/,generation-i,2
golem,https://pokeapi.co/api/v2/pokemon-species/76/,generation-i,76
chikorita,https://pokeapi.co/api/v2/pokemon-species/152/,generation-ii,152
cyndaquil,https://pokeapi.co/api/v2/pokemon-species/155/,generation-ii,155
totodile,https://pokeapi.co/api/v2/pokemon-species/158/,generation-ii,158
sentret,https://pokeapi.co/api/v2/pokemon-species/161/,generation-ii,161
hoothoot,https://pokeapi.co/api/v2/pokemon-species/163/,generation-ii,163
ledyba,https://pokeapi.co/api/v2/pokemon-species/165/,generation-ii,165
spinarak,https://pokeapi.co/api/v2/pokemon-species/167/,generation-ii,167
chinchou,https://pokeapi.co/api/v2/pokemon-species/170/,generation-ii,170
pichu,https://pokeapi.co/api/v2/pokemon-species/172/,generation-ii,172
cleffa,https://pokeapi.co/api/v2/pokemon-species/173/,generation-ii,173
igglybuff,https://pokeapi.co/api/v2/pokemon-species/174/,generation-ii,174
togepi,https://pokeapi.co/api/v2/pokemon-species/175/,generation-ii,175
natu,https://pokeapi.co/api/v2/pokemon-species/177/,generation-ii,177
mareep,https://pokeapi.co/api/v2/pokemon-species/179/,generation-ii,179
hoppip,https://pokeapi.co/api/v2/pokemon-species/187/,generation-ii,187
aipom,https://pokeapi.co/api/v2/pokemon-species/190/,generation-ii,190
sunkern,https://pokeapi.co/api/v2/pokemon-species/191/,generation-ii,191
yanma,https://pokeapi.co/api/v2/pokemon-species/193/,generation-ii,193
wooper,https://pokeapi.co/api/v2/pokemon-species/194/,generation-ii,194
murkrow,https://pokeapi.co/api/v2/pokemon-species/198/,generation-ii,198
misdreavus,https://pokeapi.co/api/v2/pokemon-species/200/,generation-ii,200
unown,https://pokeapi.co/api/v2/pokemon-species/201/,generation-ii,201
girafarig,https://pokeapi.co/api/v2/pokemon-species/203/,generation-ii,203
pineco,https://pokeapi.co/api/v2/pokemon-species/204/,generation-ii,204
dunsparce,https://pokeapi.co/api/v2/pokemon-species/206/,generation-ii,206
gligar,https://pokeapi.co/api/v2/pokemon-species/207/,generation-ii,207
snubbull,https://pokeapi.co/api/v2/pokemon-species/209/,generation-ii,209
qwilfish,https://pokeapi.co/api/v2/pokemon-species/211/,generation-ii,211
shuckle,https://pokeapi.co/api/v2/pokemon-species/213/,generation-ii,213
heracross,https://pokeapi.co/api/v2/pokemon-species/214/,generation-ii,214
sneasel,https://pokeapi.co/api/v2/pokemon-species/215/,generation-ii,215
teddiursa,https://pokeapi.co/api/v2/pokemon-species/216/,generation-ii,216
slugma,https://pokeapi.co/api/v2/pokemon-species/218/,generation-ii,218
swinub,https://pokeapi.co/api/v2/pokemon-species/220/,generation-ii,220
corsola,https://pokeapi.co/api/v2/pokemon-species/222/,generation-ii,222
remoraid,https://pokeapi.co/api/v2/pokemon-species/223/,generation-ii,223
delibird,https://pokeapi.co/api/v2/pokemon-species/225/,generation-ii,225
meganium,https://pokeapi.co/api/v2/pokemon-species/154/,generation-ii,154
quilava,https://pokeapi.co/api/v2/pokemon-species/156/,generation-ii,156
typhlosion,https://pokeapi.co/api/v2/pokemon-species/157/,generation-ii,157
croconaw,https://pokeapi.co/api/v2/pokemon-species/159/,generation-ii,159
feraligatr,https://pokeapi.co/api/v2/pokemon-species/160/,generation-ii,160
furret,https://pokeapi.co/api/v2/pokemon-species/162/,generation-ii,162
noctowl,https://pokeapi.co/api/v2/pokemon-species/164/,generation-ii,164
ledian,https://pokeapi.co/api/v2/pokemon-species/166/,generation-ii,166
ariados,https://pokeapi.co/api/v2/pokemon-species/168/,generation-ii,168
crobat,https://pokeapi.co/api/v2/pokemon-species/169/,generation-ii,169
lanturn,https://pokeapi.co/api/v2/pokemon-species/171/,generation-ii,171
togetic,https://pokeapi.co/api/v2/pokemon-species/176/,generation-ii,176
xatu,https://pokeapi.co/api/v2/pokemon-species/178/,generation-ii,178
flaaffy,https://pokeapi.co/api/v2/pokemon-species/180/,generation-ii,180
ampharos,https://pokeapi.co/api/v2/pokemon-species/181/,generation-ii,181
bellossom,https://pokeapi.co/api/v2/pokemon-species/182/,generation-ii,182
marill,https://pokeapi.co/api/v2/pokemon-species/183/,generation-ii,183
azumarill,https://pokeapi.co/api/v2/pokemon-species/184/,generation-ii,184
sudowoodo,https://pokeapi.co/api/v2/pokemon-species/185/,generation-ii,185
politoed,https://pokeapi.co/api/v2/pokemon-species/186/,generation-ii,186
skiploom,https://pokeapi.co/api/v2/pokemon-species/188/,generation-ii,188
jumpluff,https://pokeapi.co/api/v2/pokemon-species/189/,generation-ii,189
sunflora,https://pokeapi.co/api/v2/pokemon-species/192/,generation-ii,192
quagsire,https://pokeapi.co/api/v2/pokemon-species/195/,generation-ii,195
espeon,https://pokeapi.co/api/v2/pokemon-species/196/,generation-ii,196
umbreon,https://pokeapi.co/api/v2/pokemon-species/197/,generation-ii,197
slowking,https://pokeapi.co/api/v2/pokemon-species/199/,generation-ii,199
wobbuffet,https://pokeapi.co/api/v2/pokemon-species/202/,generation-ii,202
forretress,https://pokeapi.co/api/v2/pokemon-species/205/,generation-ii,205
steelix,https://pokeapi.co/api/v2/pokemon-species/208/,generation-ii,208
granbull,https://pokeapi.co/api/v2/pokemon-species/210/,generation-ii,210
scizor,https://pokeapi.co/api/v2/pokemon-species/212/,generation-ii,212
ursaring,https://pokeapi.co/api/v2/pokemon-species/217/,generation-ii,217
magcargo,https://pokeapi.co/api/v2/pokemon-species/219/,generation-ii,219
piloswine,https://pokeapi.co/api/v2/pokemon-species/221/,generation-ii,221
octillery,https://pokeapi.co/api/v2/pokemon-species/224/,generation-ii,224
skarmory,https://pokeapi.co/api/v2/pokemon-species/227/,generation-ii,227
houndour,https://pokeapi.co/api/v2/pokemon-species/228/,generation-ii,228
phanpy,https://pokeapi.co/api/v2/pokemon-species/231/,generation-ii,231
stantler,https://pokeapi.co/api/v2/pokemon-species/234/,generation-ii,234
smeargle,https://pokeapi.co/api/v2/pokemon-species/235/,generation-ii,235
tyrogue,https://pokeapi.co/api/v2/pokemon-species/236/,generation-ii,236
smoochum,https://pokeapi.co/api/v2/pokemon-species/238/,generation-ii,238
elekid,https://pokeapi.co/api/v2/pokemon-species/239/,generation-ii,239
magby,https://pokeapi.co/api/v2/pokemon-species/240/,generation-ii,240
miltank,https://pokeapi.co/api/v2/pokemon-species/241/,generation-ii,241
raikou,https://pokeapi.co/api/v2/pokemon-species/243/,generation-ii,243
entei,https://pokeapi.co/api/v2/pokemon-species/244/,generation-ii,244
suicune,https://pokeapi.co/api/v2/pokemon-species/245/,generation-ii,245
larvitar,https://pokeapi.co/api/v2/pokemon-species/246/,generation-ii,246
lugia,https://pokeapi.co/api/v2/pokemon-species/249/,generation-ii,249
ho-oh,https://pokeapi.co/api/v2/pokemon-species/250/,generation-ii,250
celebi,https://pokeapi.co/api/v2/pokemon-species/251/,generation-ii,251
houndoom,https://pokeapi.co/api/v2/pokemon-species/229/,generation-ii,229
kingdra,https://pokeapi.co/api/v2/pokemon-species/230/,generation-ii,230
donphan,https://pokeapi.co/api/v2/pokemon-species/232/,generation-ii,232
porygon2,https://pokeapi.co/api/v2/pokemon-species/233/,generation-ii,233
hitmontop,https://pokeapi.co/api/v2/pokemon-species/237/,generation-ii,237
blissey,https://pokeapi.co/api/v2/pokemon-species/242/,generation-ii,242
pupitar,https://pokeapi.co/api/v2/pokemon-species/247/,generation-ii,247
tyranitar,https://pokeapi.co/api/v2/pokemon-species/248/,generation-ii,248
bayleef,https://pokeapi.co/api/v2/pokemon-species/153/,generation-ii,153
mantine,https://pokeapi.co/api/v2/pokemon-species/226/,generation-ii,226
treecko,https://pokeapi.co/api/v2/pokemon-species/252/,generation-iii,252
torchic,https://pokeapi.co/api/v2/pokemon-species/255/,generation-iii,255
mudkip,https://pokeapi.co/api/v2/pokemon-species/258/,generation-iii,258
poochyena,https://pokeapi.co/api/v2/pokemon-species/261/,generation-iii,261
zigzagoon,https://pokeapi.co/api/v2/pokemon-species/263/,generation-iii,263
wurmple,https://pokeapi.co/api/v2/pokemon-species/265/,generation-iii,265
lotad,https://pokeapi.co/api/v2/pokemon-species/270/,generation-iii,270
seedot,https://pokeapi.co/api/v2/pokemon-species/273/,generation-iii,273
taillow,https://pokeapi.co/api/v2/pokemon-species/276/,generation-iii,276
wingull,https://pokeapi.co/api/v2/pokemon-species/278/,generation-iii,278
ralts,https://pokeapi.co/api/v2/pokemon-species/280/,generation-iii,280
surskit,https://pokeapi.co/api/v2/pokemon-species/283/,generation-iii,283
shroomish,https://pokeapi.co/api/v2/pokemon-species/285/,generation-iii,285
slakoth,https://pokeapi.co/api/v2/pokemon-species/287/,generation-iii,287
nincada,https://pokeapi.co/api/v2/pokemon-species/290/,generation-iii,290
whismur,https://pokeapi.co/api/v2/pokemon-species/293/,generation-iii,293
makuhita,https://pokeapi.co/api/v2/pokemon-species/296/,generation-iii,296
azurill,https://pokeapi.co/api/v2/pokemon-species/298/,generation-iii,298
nosepass,https://pokeapi.co/api/v2/pokemon-species/299/,generation-iii,299
skitty,https://pokeapi.co/api/v2/pokemon-species/300/,generation-iii,300
grovyle,https://pokeapi.co/api/v2/pokemon-species/253/,generation-iii,253
sceptile,https://pokeapi.co/api/v2/pokemon-species/254/,generation-iii,254
combusken,https://pokeapi.co/api/v2/pokemon-species/256/,generation-iii,256
blaziken,https://pokeapi.co/api/v2/pokemon-species/257/,generation-iii,257
marshtomp,https://pokeapi.co/api/v2/pokemon-species/259/,generation-iii,259
swampert,https://pokeapi.co/api/v2/pokemon-species/260/,generation-iii,260
mightyena,https://pokeapi.co/api/v2/pokemon-species/262/,generation-iii,262
linoone,https://pokeapi.co/api/v2/pokemon-species/264/,generation-iii,264
silcoon,https://pokeapi.co/api/v2/pokemon-species/266/,generation-iii,266
beautifly,https://pokeapi.co/api/v2/pokemon-species/267/,generation-iii,267
cascoon,https://pokeapi.co/api/v2/pokemon-species/268/,generation-iii,268
dustox,https://pokeapi.co/api/v2/pokemon-species/269/,generation-iii,269
lombre,https://pokeapi.co/api/v2/pokemon-species/271/,generation-iii,271
ludicolo,https://pokeapi.co/api/v2/pokemon-species/272/,generation-iii,272
nuzleaf,https://pokeapi.co/api/v2/pokemon-species/274/,generation-iii,274
shiftry,https://pokeapi.co/api/v2/pokemon-species/275/,generation-iii,275
swellow,https://pokeapi.co/api/v2/pokemon-species/277/,generation-iii,277
pelipper,https://pokeapi.co/api/v2/pokemon-species/279/,generation-iii,279
kirlia,https://pokeapi.co/api/v2/pokemon-species/281/,generation-iii,281
gardevoir,https://pokeapi.co/api/v2/pokemon-species/282/,generation-iii,282
masquerain,https://pokeapi.co/api/v2/pokemon-species/284/,generation-iii,284
breloom,https://pokeapi.co/api/v2/pokemon-species/286/,generation-iii,286
vigoroth,https://pokeapi.co/api/v2/pokemon-species/288/,generation-iii,288
slaking,https://pokeapi.co/api/v2/pokemon-species/289/,generation-iii,289
ninjask,https://pokeapi.co/api/v2/pokemon-species/291/,generation-iii,291
shedinja,https://pokeapi.co/api/v2/pokemon-species/292/,generation-iii,292
loudred,https://pokeapi.co/api/v2/pokemon-species/294/,generation-iii,294
exploud,https://pokeapi.co/api/v2/pokemon-species/295/,generation-iii,295
hariyama,https://pokeapi.co/api/v2/pokemon-species/297/,generation-iii,297
sableye,https://pokeapi.co/api/v2/pokemon-species/302/,generation-iii,302
mawile,https://pokeapi.co/api/v2/pokemon-species/303/,generation-iii,303
aron,https://pokeapi.co/api/v2/pokemon-species/304/,generation-iii,304
meditite,https://pokeapi.co/api/v2/pokemon-species/307/,generation-iii,307
electrike,https://pokeapi.co/api/v2/pokemon-species/309/,generation-iii,309
plusle,https://pokeapi.co/api/v2/pokemon-species/311/,generation-iii,311
minun,https://pokeapi.co/api/v2/pokemon-species/312/,generation-iii,312
volbeat,https://pokeapi.co/api/v2/pokemon-species/313/,generation-iii,313
illumise,https://pokeapi.co/api/v2/pokemon-species/314/,generation-iii,314
gulpin,https://pokeapi.co/api/v2/pokemon-species/316/,generation-iii,316
carvanha,https://pokeapi.co/api/v2/pokemon-species/318/,generation-iii,318
wailmer,https://pokeapi.co/api/v2/pokemon-species/320/,generation-iii,320
numel,https://pokeapi.co/api/v2/pokemon-species/322/,generation-iii,322
torkoal,https://pokeapi.co/api/v2/pokemon-species/324/,generation-iii,324
spoink,https://pokeapi.co/api/v2/pokemon-species/325/,generation-iii,325
spinda,https://pokeapi.co/api/v2/pokemon-species/327/,generation-iii,327
trapinch,https://pokeapi.co/api/v2/pokemon-species/328/,generation-iii,328
cacnea,https://pokeapi.co/api/v2/pokemon-species/331/,generation-iii,331
swablu,https://pokeapi.co/api/v2/pokemon-species/333/,generation-iii,333
zangoose,https://pokeapi.co/api/v2/pokemon-species/335/,generation-iii,335
seviper,https://pokeapi.co/api/v2/pokemon-species/336/,generation-iii,336
lunatone,https://pokeapi.co/api/v2/pokemon-species/337/,generation-iii,337
solrock,https://pokeapi.co/api/v2/pokemon-species/338/,generation-iii,338
barboach,https://pokeapi.co/api/v2/pokemon-species/339/,generation-iii,339
corphish,https://pokeapi.co/api/v2/pokemon-species/341/,generation-iii,341
baltoy,https://pokeapi.co/api/v2/pokemon-species/343/,generation-iii,343
lileep,https://pokeapi.co/api/v2/pokemon-species/345/,generation-iii,345
anorith,https://pokeapi.co/api/v2/pokemon-species/347/,generation-iii,347
feebas,https://pokeapi.co/api/v2/pokemon-species/349/,generation-iii,349
castform,https://pokeapi.co/api/v2/pokemon-species/351/,generation-iii,351
kecleon,https://pokeapi.co/api/v2/pokemon-species/352/,generation-iii,352
shuppet,https://pokeapi.co/api/v2/pokemon-species/353/,generation-iii,353
duskull,https://pokeapi.co/api/v2/pokemon-species/355/,generation-iii,355
tropius,https://pokeapi.co/api/v2/pokemon-species/357/,generation-iii,357
absol,https://pokeapi.co/api/v2/pokemon-species/359/,generation-iii,359
wynaut,https://pokeapi.co/api/v2/pokemon-species/360/,generation-iii,360
snorunt,https://pokeapi.co/api/v2/pokemon-species/361/,generation-iii,361
spheal,https://pokeapi.co/api/v2/pokemon-species/363/,generation-iii,363
clamperl,https://pokeapi.co/api/v2/pokemon-species/366/,generation-iii,366
relicanth,https://pokeapi.co/api/v2/pokemon-species/369/,generation-iii,369
luvdisc,https://pokeapi.co/api/v2/pokemon-species/370/,generation-iii,370
bagon,https://pokeapi.co/api/v2/pokemon-species/371/,generation-iii,371
beldum,https://pokeapi.co/api/v2/pokemon-species/374/,generation-iii,374
lairon,https://pokeapi.co/api/v2/pokemon-species/305/,generation-iii,305
aggron,https://pokeapi.co/api/v2/pokemon-species/306/,generation-iii,306
medicham,https://pokeapi.co/api/v2/pokemon-species/308/,generation-iii,308
manectric,https://pokeapi.co/api/v2/pokemon-species/310/,generation-iii,310
roselia,https://pokeapi.co/api/v2/pokemon-species/315/,generation-iii,315
swalot,https://pokeapi.co/api/v2/pokemon-species/317/,generation-iii,317
sharpedo,https://pokeapi.co/api/v2/pokemon-species/319/,generation-iii,319
wailord,https://pokeapi.co/api/v2/pokemon-species/321/,generation-iii,321
camerupt,https://pokeapi.co/api/v2/pokemon-species/323/,generation-iii,323
grumpig,https://pokeapi.co/api/v2/pokemon-species/326/,generation-iii,326
vibrava,https://pokeapi.co/api/v2/pokemon-species/329/,generation-iii,329
flygon,https://pokeapi.co/api/v2/pokemon-species/330/,generation-iii,330
cacturne,https://pokeapi.co/api/v2/pokemon-species/332/,generation-iii,332
altaria,https://pokeapi.co/api/v2/pokemon-species/334/,generation-iii,334
whiscash,https://pokeapi.co/api/v2/pokemon-species/340/,generation-iii,340
crawdaunt,https://pokeapi.co/api/v2/pokemon-species/342/,generation-iii,342
claydol,https://pokeapi.co/api/v2/pokemon-species/344/,generation-iii,344
cradily,https://pokeapi.co/api/v2/pokemon-species/346/,generation-iii,346
armaldo,https://pokeapi.co/api/v2/pokemon-species/348/,generation-iii,348
milotic,https://pokeapi.co/api/v2/pokemon-species/350/,generation-iii,350
banette,https://pokeapi.co/api/v2/pokemon-species/354/,generation-iii,354
dusclops,https://pokeapi.co/api/v2/pokemon-species/356/,generation-iii,356
chimecho,https://pokeapi.co/api/v2/pokemon-species/358/,generation-iii,358
glalie,https://pokeapi.co/api/v2/pokemon-species/362/,generation-iii,362
sealeo,https://pokeapi.co/api/v2/pokemon-species/364/,generation-iii,364
walrein,https://pokeapi.co/api/v2/pokemon-species/365/,generation-iii,365
huntail,https://pokeapi.co/api/v2/pokemon-species/367/,generation-iii,367
gorebyss,https://pokeapi.co/api/v2/pokemon-species/368/,generation-iii,368
shelgon,https://pokeapi.co/api/v2/pokemon-species/372/,generation-iii,372
salamence,https://pokeapi.co/api/v2/pokemon-species/373/,generation-iii,373
metang,https://pokeapi.co/api/v2/pokemon-species/375/,generation-iii,375
