pokemon,specie_id
seaking,119
starmie,121
mr-mime,122
mr-mime-galar,122
jynx,124
electabuzz,125
magmar,126
gyarados,130
gyarados-mega,130
vaporeon,134
jolteon,135
flareon,136
omastar,139
kabutops,141
snorlax,143
snorlax-gmax,143
dragonair,148
dragonite,149
mew,151
ivysaur,2
golem,76
golem-alola,76
chikorita,152
cyndaquil,155
totodile,158
sentret,161
hoothoot,163
ledyba,165
spinarak,167
chinchou,170
pichu,172
cleffa,173
igglybuff,174
togepi,175
natu,177
mareep,179
hoppip,187
aipom,190
sunkern,191
yanma,193
wooper,194
wooper-paldea,194
murkrow,198
misdreavus,200
unown,201
girafarig,203
pineco,204
dunsparce,206
gligar,207
snubbull,209
qwilfish,211
qwilfish-hisui,211
shuckle,213
heracross,214
heracross-mega,214
sneasel,215
sneasel-hisui,215
teddiursa,216
slugma,218
swinub,220
corsola,222
corsola-galar,222
remoraid,223
delibird,225
meganium,154
quilava,156
typhlosion,157
typhlosion-hisui,157
croconaw,159
feraligatr,160
furret,162
noctowl,164
ledian,166
ariados,168
crobat,169
lanturn,171
togetic,176
xatu,178
flaaffy,180
ampharos,181
ampharos-mega,181
bellossom,182
marill,183
azumarill,184
sudowoodo,185
politoed,186
skiploom,188
jumpluff,189
sunflora,192
quagsire,195
espeon,196
umbreon,197
slowking,199
slowking-galar,199
wobbuffet,202
forretress,205
steelix,208
steelix-mega,208
granbull,210
scizor,212
scizor-mega,212
ursaring,217
magcargo,219
piloswine,221
octillery,224
skarmory,227
houndour,228
phanpy,231
stantler,234
smeargle,235
tyrogue,236
smoochum,238
elekid,239
magby,240
miltank,241
raikou,243
entei,244
suicune,245
larvitar,246
lugia,249
ho-oh,250
celebi,251
houndoom,229
houndoom-mega,229
kingdra,230
donphan,232
porygon2,233
hitmontop,237
blissey,242
pupitar,247
tyranitar,248
tyranitar-mega,248
bayleef,153
mantine,226
treecko,252
torchic,255
mudkip,258
poochyena,261
zigzagoon,263
zigzagoon-galar,263
wurmple,265
lotad,270
seedot,273
taillow,276
wingull,278
ralts,280
surskit,283
shroomish,285
slakoth,287
nincada,290
whismur,293
makuhita,296
azurill,298
nosepass,299
skitty,300
grovyle,253
sceptile,254
sceptile-mega,254
combusken,256
blaziken,257
blaziken-mega,257
marshtomp,259
swampert,260
swampert-mega,260
mightyena,262
linoone,264
linoone-galar,264
silcoon,266
beautifly,267
cascoon,268
dustox,269
lombre,271
ludicolo,272
nuzleaf,274
shiftry,275
swellow,277
pelipper,279
kirlia,281
gardevoir,282
gardevoir-mega,282
masquerain,284
breloom,286
vigoroth,288
slaking,289
ninjask,291
shedinja,292
loudred,294
exploud,295
hariyama,297
sableye,302
sableye-mega,302
mawile,303
mawile-mega,303
aron,304
meditite,307
electrike,309
plusle,311
minun,312
volbeat,313
illumise,314
gulpin,316
carvanha,318
wailmer,320
numel,322
torkoal,324
spoink,325
spinda,327
trapinch,328
cacnea,331
swablu,333
zangoose,335
seviper,336
lunatone,337
solrock,338
barboach,339
corphish,341
baltoy,343
lileep,345
anorith,347
feebas,349
castform,351
castform-sunny,351
castform-rainy,351
castform-snowy,351
kecleon,352
shuppet,353
duskull,355
tropius,357
absol,359
absol-mega,359
wynaut,360
snorunt,361
spheal,363
clamperl,366
relicanth,369
luvdisc,370
bagon,371
beldum,374
lairon,305
aggron,306
aggron-mega,306
medicham,308
medicham-mega,308
manectric,310
manectric-mega,310
roselia,315
swalot,317
sharpedo,319
sharpedo-mega,319
wailord,321
camerupt,323
camerupt-mega,323
grumpig,326
vibrava,329
flygon,330
cacturne,332
altaria,334
altaria-mega,334
whiscash,340
crawdaunt,342
claydol,344
cradily,346
armaldo,348
milotic,350
banette,354
banette-mega,354
dusclops,356
chimecho,358
glalie,362
glalie-mega,362
sealeo,364
walrein,365
huntail,367
gorebyss,368
shelgon,372
salamence,373
salamence-mega,373
metang,375
regirock,377
regice,378
registeel,379
latias,380
latias-mega,380
latios,381
latios-mega,381
kyogre,382
kyogre-primal,382
groudon,383
groudon-primal,383
rayquaza,384
rayquaza-mega,384
jirachi,385
deoxys-normal,386
deoxys-attack,386
deoxys-defense,386
deoxys-speed,386
delcatty,301
metagross,376
metagross-mega,376
turtwig,387
chimchar,390
piplup,393
starly,396
bidoof,399
kricketot,401
shinx,403
budew,406
cranidos,408
shieldon,410
burmy,412
combee,415
pachirisu,417
buizel,418
cherubi,420
shellos,422
drifloon,425
buneary,427
glameow,431
chingling,433
stunky,434
bronzor,436
bonsly,438
mime-jr,439
happiny,440
chatot,441
spiritomb,442
gible,443
munchlax,446
riolu,447
hippopotas,449
skorupi,451
croagunk,453
grotle,388
torterra,389
infernape,392
prinplup,394
empoleon,395
staravia,397
staraptor,398
bibarel,400
kricketune,402
luxio,404
luxray,405
roserade,407
rampardos,409
bastiodon,411
wormadam-plant,413
wormadam-sandy,413
wormadam-trash,413
mothim,414
vespiquen,416
floatzel,419
cherrim,421
ambipom,424
drifblim,426
lopunny,428
lopunny-mega,428
mismagius,429
honchkrow,430
purugly,432
skuntank,435
bronzong,437
gabite,444
garchomp,445
garchomp-mega,445
lucario,448
lucario-mega,448
hippowdon,450
drapion,452
carnivine,455
finneon,456
mantyke,458
snover,459
rotom,479
rotom-heat,479
rotom-wash,479
rotom-frost,479
rotom-fan,479
rotom-mow,479
uxie,480
mesprit,481
azelf,482
dialga,483
dialga-origin,483
palkia,484
palkia-origin,484
heatran,485
regigigas,486
giratina-altered,487
giratina-origin,487
cresselia,488
phione,489
manaphy,490
darkrai,491
shaymin-land,492
shaymin-sky,492
arceus,493
lumineon,457
abomasnow,460
abomasnow-mega,460
weavile,461
magnezone,462
lickilicky,463
rhyperior,464
tangrowth,465
electivire,466
magmortar,467
togekiss,468
yanmega,469
leafeon,470
glaceon,471
gliscor,472
porygon-z,474
gallade,475
gallade-mega,475
probopass,476
dusknoir,477
froslass,478
monferno,391
gastrodon,423
toxicroak,454
mamoswine,473
victini,494
snivy,495
tepig,498
oshawott,501
patrat,504
lillipup,506
purrloin,509
pansage,511
pansear,513
panpour,515
munna,517
pidove,519
blitzle,522
roggenrola,524
woobat,527
drilbur,529
audino,531
audino-mega,531
servine,496
serperior,497
pignite,499
emboar,500
dewott,502
samurott,503
samurott-hisui,503
watchog,505
stoutland,508
liepard,510
simisage,512
simisear,514
simipour,516
musharna,518
tranquill,520
unfezant,521
zebstrika,523
boldore,525
gigalith,526
swoobat,528
excadrill,530
timburr,532
tympole,535
throh,538
sawk,539
sewaddle,540
venipede,543
cottonee,546
petilil,548
basculin-red-striped,550
basculin-blue-striped,550
basculin-white-striped,550
sandile,551
darumaka,554
darumaka-galar,554
maractus,556
dwebble,557
scraggy,559
sigilyph,561
yamask,562
yamask-galar,562
tirtouga,564
archen,566
trubbish,568
zorua,570
zorua-hisui,570
minccino,572
gothita,574
solosis,577
ducklett,580
vanillite,582
deerling,585
emolga,587
karrablast,588
foongus,590
frillish,592
frillish-female,592
alomomola,594
joltik,595
ferroseed,597
klink,599
tynamo,602
elgyem,605
litwick,607
conkeldurr,534
palpitoad,536
seismitoad,537
swadloon,541
leavanny,542
whirlipede,544
scolipede,545
whimsicott,547
lilligant,549
lilligant-hisui,549
krokorok,552
krookodile,553
darmanitan-standard,555
darmanitan-zen,555
darmanitan-galar-standard,555
darmanitan-galar-zen,555
crustle,558
scrafty,560
carracosta,565
archeops,567
garbodor,569
garbodor-gmax,569
zoroark,571
zoroark-hisui,571
cinccino,573
gothorita,575
gothitelle,576
duosion,578
reuniclus,579
swanna,581
vanillish,583
vanilluxe,584
sawsbuck,586
escavalier,589
amoonguss,591
jellicent,593
jellicent-female,593
galvantula,596
ferrothorn,598
klang,600
eelektrik,603
eelektross,604
beheeyem,606
lampent,608
axew,610
cubchoo,613
cryogonal,615
shelmet,616
stunfisk,618
stunfisk-galar,618
mienfoo,619
druddigon,621
golett,622
pawniard,624
bouffalant,626
rufflet,627
vullaby,629
heatmor,631
durant,632
deino,633
larvesta,636
cobalion,638
terrakion,639
virizion,640
tornadus-incarnate,641
tornadus-therian,641
thundurus-incarnate,642
thundurus-therian,642
reshiram,643
zekrom,644
landorus-incarnate,645
landorus-therian,645
kyurem,646
kyurem-black,646
kyurem-white,646
keldeo-ordinary,647
keldeo-resolute,647
meloetta-aria,648
meloetta-pirouette,648
genesect,649
fraxure,611
haxorus,612
beartic,614
accelgor,617
golurk,623
bisharp,625
braviary,628
braviary-hisui,628
mandibuzz,630
zweilous,634
hydreigon,635
volcarona,637
herdier,507
gurdurr,533
cofagrigus,563
klinklang,601
chandelure,609
mienshao,620
chespin,650
fennekin,653
froakie,656
bunnelby,659
fletchling,661
scatterbug,664
litleo,667
flabebe,669
skiddo,672
pancham,674
furfrou,676
espurr,677
honedge,679
spritzee,682
swirlix,684
inkay,686
quilladin,651
chesnaught,652
braixen,654
delphox,655
frogadier,657
greninja,658
greninja-battle-bond,658
greninja-ash,658
diggersby,660
fletchinder,662
talonflame,663
spewpa,665
pyroar,668
floette,670
floette-eternal,670
florges,671
gogoat,673
pangoro,675
meowstic-male,678
meowstic-female,678
doublade,680
aegislash-shield,681
aegislash-blade,681
aromatisse,683
slurpuff,685
binacle,688
skrelp,690
clauncher,692
helioptile,694
tyrunt,696
amaura,698
hawlucha,701
dedenne,702
carbink,703
goomy,704
klefki,707
phantump,708
pumpkaboo-average,710
pumpkaboo-small,710
pumpkaboo-large,710
pumpkaboo-super,710
bergmite,712
noibat,714
xerneas,716
yveltal,717
zygarde-50,718
zygarde-10-power-construct,718
zygarde-50-power-construct,718
zygarde-complete,718
zygarde-10,718
diancie,719
diancie-mega,719
hoopa,720
hoopa-unbound,720
volcanion,721
barbaracle,689
dragalge,691
clawitzer,693
heliolisk,695
aurorus,699
sylveon,700
sliggoo,705
sliggoo-hisui,705
goodra,706
goodra-hisui,706
trevenant,709
gourgeist-average,711
gourgeist-small,711
gourgeist-large,711
gourgeist-super,711
avalugg,713
avalugg-hisui,713
noivern,715
vivillon,666
malamar,687
tyrantrum,697
rowlet,722
litten,725
popplio,728
pikipek,731
yungoos,734
grubbin,736
crabrawler,739
oricorio-baile,741
oricorio-pom-pom,741
oricorio-pau,741
oricorio-sensu,741
cutiefly,742
rockruff,744
rockruff-own-tempo,744
wishiwashi-solo,746
wishiwashi-school,746
mareanie,747
mudbray,749
dewpider,751
fomantis,753
morelull,755
salandit,757
stufful,759
bounsweet,761
comfey,764
dartrix,723
decidueye,724
decidueye-hisui,724
torracat,726
incineroar,727
primarina,730
trumbeak,732
toucannon,733
gumshoos,735
gumshoos-totem,735
charjabug,737
vikavolt,738
vikavolt-totem,738
crabominable,740
ribombee,743
ribombee-totem,743
lycanroc-midday,745
lycanroc-midnight,745
lycanroc-dusk,745
toxapex,748
mudsdale,750
araquanid,752
araquanid-totem,752
lurantis,754
lurantis-totem,754
shiinotic,756
salazzle,758
salazzle-totem,758
bewear,760
steenee,762
oranguru,765
passimian,766
wimpod,767
sandygast,769
pyukumuku,771
type-null,772
minior-red-meteor,774
minior-orange-meteor,774
minior-yellow-meteor,774
minior-green-meteor,774
minior-blue-meteor,774
minior-indigo-meteor,774
minior-violet-meteor,774
minior-red,774
minior-orange,774
minior-yellow,774
minior-green,774
minior-blue,774
minior-indigo,774
minior-violet,774
komala,775
turtonator,776
togedemaru,777
togedemaru-totem,777
mimikyu-disguised,778
mimikyu-busted,778
mimikyu-totem-disguised,778
mimikyu-totem-busted,778
bruxish,779
drampa,780
dhelmise,781
jangmo-o,782
tapu-koko,785
tapu-lele,786
tapu-bulu,787
tapu-fini,788
cosmog,789
nihilego,793
buzzwole,794
pheromosa,795
xurkitree,796
celesteela,797
kartana,798
guzzlord,799
necrozma,800
necrozma-dusk,800
necrozma-dawn,800
necrozma-ultra,800
magearna,801
magearna-original,801
marshadow,802
poipole,803
stakataka,805
blacephalon,806
zeraora,807
meltan,808
silvally,773
hakamo-o,783
kommo-o,784
kommo-o-totem,784
cosmoem,790
solgaleo,791
lunala,792
naganadel,804
melmetal,809
melmetal-gmax,809
brionne,729
tsareena,763
golisopod,768
palossand,770
grookey,810
scorbunny,813
sobble,816
skwovet,819
rookidee,821
blipbug,824
nickit,827
gossifleur,829
wooloo,831
chewtle,833
yamper,835
rolycoly,837
applin,840
thwackey,811
rillaboom,812
rillaboom-gmax,812
raboot,814
cinderace,815
cinderace-gmax,815
drizzile,817
inteleon,818
inteleon-gmax,818
greedent,820
corvisquire,822
corviknight,823
corviknight-gmax,823
dottler,825
thievul,828
eldegoss,830
dubwool,832
drednaw,834
drednaw-gmax,834
boltund,836
carkol,838
coalossal,839
coalossal-gmax,839
flapple,841
flapple-gmax,841
silicobra,843
cramorant,845
cramorant-gulping,845
cramorant-gorging,845
arrokuda,846
toxel,848
sizzlipede,850
clobbopus,852
sinistea,854
hatenna,856
impidimp,859
milcery,868
falinks,870
pincurchin,871
snom,872
stonjourner,874
eiscue-ice,875
eiscue-noice,875
indeedee-male,876
indeedee-female,876
morpeko-full-belly,877
morpeko-hangry,877
cufant,878
dracozolt,880
arctozolt,881
dracovish,882
arctovish,883
duraludon,884
duraludon-gmax,884
dreepy,885
zacian,888
zacian-crowned,888
zamazenta,889
zamazenta-crowned,889
eternatus,890
eternatus-eternamax,890
kubfu,891
zarude,893
zarude-dada,893
regieleki,894
regidrago,895
glastrier,896
spectrier,897
calyrex,898
calyrex-ice,898
calyrex-shadow,898
enamorus-incarnate,905
enamorus-therian,905
sandaconda,844
sandaconda-gmax,844
barraskewda,847
toxtricity-amped,849
toxtricity-low-key,849
toxtricity-amped-gmax,849
toxtricity-low-key-gmax,849
centiskorch,851
centiskorch-gmax,851
grapploct,853
polteageist,855
hattrem,857
hatterene,858
hatterene-gmax,858
grimmsnarl,861
grimmsnarl-gmax,861
obstagoon,862
perrserker,863
cursola,864
sirfetchd,865
mr-rime,866
runerigus,867
alcremie,869
alcremie-gmax,869
frosmoth,873
copperajah,879
copperajah-gmax,879
drakloak,886
dragapult,887
urshifu-single-strike,892
urshifu-rapid-strike,892
urshifu-single-strike-gmax,892
urshifu-rapid-strike-gmax,892
wyrdeer,899
kleavor,900
ursaluna,901
ursaluna-bloodmoon,901
basculegion-male,902
basculegion-female,902
overqwil,904
orbeetle,826
orbeetle-gmax,826
appletun,842
appletun-gmax,842
morgrem,860
sneasler,903
lokix,920
sprigatito,906
fuecoco,909
quaxly,912
lechonk,915
tarountula,917
nymble,919
floragato,907
meowscarada,908
crocalor,910
skeledirge,911
quaxwell,913
quaquaval,914
oinkologne-male,916
oinkologne-female,916
spidops,918
pawmi,921
tandemaus,924
fidough,926
smoliv,928
squawkabilly-green-plumage,931
squawkabilly-blue-plumage,931
squawkabilly-yellow-plumage,931
squawkabilly-white-plumage,931
nacli,932
charcadet,935
tadbulb,938
wattrel,940
maschiff,942
shroodle,944
bramblin,946
toedscool,948
klawf,950
capsakid,951
rellor,953
flittle,955
tinkatink,957
wiglett,960
bombirdier,962
finizen,963
varoom,965
cyclizar,967
orthworm,968
glimmet,969
greavard,971
flamigo,973
cetoddle,974
veluza,976
dondozo,977
tatsugiri-curly,978
tatsugiri-droopy,978
tatsugiri-stretchy,978
great-tusk,984
scream-tail,985
brute-bonnet,986
flutter-mane,987
slither-wing,988
sandy-shocks,989
iron-treads,990
iron-bundle,991
iron-hands,992
iron-jugulis,993
iron-moth,994
iron-thorns,995
frigibax,996
pawmot,923
maushold-family-of-four,925
maushold-family-of-three,925
dachsbun,927
dolliv,929
naclstack,933
garganacl,934
armarouge,936
ceruledge,937
bellibolt,939
kilowattrel,941
mabosstiff,943
grafaiai,945
brambleghast,947
toedscruel,949
scovillain,952
rabsca,954
espathra,956
tinkatuff,958
tinkaton,959
wugtrio,961
palafin-zero,964
palafin-hero,964
glimmora,970
houndstone,972
cetitan,975
annihilape,979
clodsire,980
farigiraf,981
dudunsparce-two-segment,982
dudunsparce-three-segment,982
kingambit,983
arctibax,997
gimmighoul,999
gimmighoul-roaming,999
wo-chien,1001
chien-pao,1002
ting-lu,1003
chi-yu,1004
roaring-moon,1005
iron-valiant,1006
koraidon,1007
koraidon-limited-build,1007
koraidon-sprinting-build,1007
koraidon-swimming-build,1007
koraidon-gliding-build,1007
miraidon,1008
miraidon-low-power-mode,1008
miraidon-drive-mode,1008
miraidon-aquatic-mode,1008
miraidon-glide-mode,1008
walking-wake,1009
iron-leaves,1010
poltchageist,1012
okidogi,1014
munkidori,1015
fezandipiti,1016
ogerpon,1017
ogerpon-wellspring-mask,1017
ogerpon-hearthflame-mask,1017
ogerpon-cornerstone-mask,1017
gouging-fire,1020
raging-bolt,1021
iron-boulder,1022
iron-crown,1023
terapagos,1024
terapagos-terastal,1024
terapagos-stellar,1024
pecharunt,1025
pawmo,922
arboliva,930
revavroom,966
baxcalibur,998
gholdengo,1000
dipplin,1011
sinistcha,1013
archaludon,1018
hydrapple,1019
