power,stat,pokemon
35,hp,dugtrio
100,attack,dugtrio
50,defense,dugtrio
50,special-attack,dugtrio
70,special-defense,dugtrio
120,speed,dugtrio
40,hp,meowth
45,attack,meowth
35,defense,meowth
40,special-attack,meowth
40,special-defense,meowth
90,speed,meowth
65,hp,persian
70,attack,persian
60,defense,persian
65,special-attack,persian
65,special-defense,persian
115,speed,persian
50,hp,psyduck
52,attack,psyduck
48,defense,psyduck
65,special-attack,psyduck
50,special-defense,psyduck
55,speed,psyduck
80,hp,golduck
82,attack,golduck
78,defense,golduck
95,special-attack,golduck
80,special-defense,golduck
85,speed,golduck
40,hp,mankey
80,attack,mankey
35,defense,mankey
35,special-attack,mankey
45,special-defense,mankey
70,speed,mankey
65,hp,primeape
105,attack,primeape
60,defense,primeape
60,special-attack,primeape
70,special-defense,primeape
95,speed,primeape
55,hp,growlithe
70,attack,growlithe
45,defense,growlithe
70,special-attack,growlithe
50,special-defense,growlithe
60,speed,growlithe
90,hp,arcanine
110,attack,arcanine
80,defense,arcanine
100,special-attack,arcanine
80,special-defense,arcanine
95,speed,arcanine
40,hp,poliwag
50,attack,poliwag
40,defense,poliwag
40,special-attack,poliwag
40,special-defense,poliwag
90,speed,poliwag
65,hp,poliwhirl
65,attack,poliwhirl
65,defense,poliwhirl
50,special-attack,poliwhirl
50,special-defense,poliwhirl
90,speed,poliwhirl
90,hp,poliwrath
95,attack,poliwrath
95,defense,poliwrath
70,special-attack,poliwrath
90,special-defense,poliwrath
70,speed,poliwrath
25,hp,abra
20,attack,abra
15,defense,abra
105,special-attack,abra
55,special-defense,abra
90,speed,abra
40,hp,kadabra
35,attack,kadabra
30,defense,kadabra
120,special-attack,kadabra
70,special-defense,kadabra
105,speed,kadabra
55,hp,alakazam
50,attack,alakazam
45,defense,alakazam
135,special-attack,alakazam
95,special-defense,alakazam
120,speed,alakazam
70,hp,machop
80,attack,machop
50,defense,machop
35,special-attack,machop
35,special-defense,machop
35,speed,machop
80,hp,machoke
100,attack,machoke
70,defense,machoke
50,special-attack,machoke
60,special-defense,machoke
45,speed,machoke
90,hp,machamp
130,attack,machamp
80,defense,machamp
65,special-attack,machamp
85,special-defense,machamp
55,speed,machamp
50,hp,bellsprout
75,attack,bellsprout
35,defense,bellsprout
70,special-attack,bellsprout
30,special-defense,bellsprout
40,speed,bellsprout
65,hp,weepinbell
90,attack,weepinbell
50,defense,weepinbell
85,special-attack,weepinbell
45,special-defense,weepinbell
55,speed,weepinbell
80,hp,victreebel
105,attack,victreebel
65,defense,victreebel
100,special-attack,victreebel
70,special-defense,victreebel
70,speed,victreebel
40,hp,tentacool
40,attack,tentacool
35,defense,tentacool
50,special-attack,tentacool
100,special-defense,tentacool
70,speed,tentacool
80,hp,tentacruel
70,attack,tentacruel
65,defense,tentacruel
80,special-attack,tentacruel
120,special-defense,tentacruel
100,speed,tentacruel
40,hp,geodude
80,attack,geodude
100,defense,geodude
30,special-attack,geodude
30,special-defense,geodude
20,speed,geodude
55,hp,graveler
95,attack,graveler
115,defense,graveler
45,special-attack,graveler
45,special-defense,graveler
35,speed,graveler
80,hp,golem
120,attack,golem
130,defense,golem
55,special-attack,golem
65,special-defense,golem
45,speed,golem
50,hp,ponyta
85,attack,ponyta
55,defense,ponyta
65,special-attack,ponyta
65,special-defense,ponyta
90,speed,ponyta
65,hp,rapidash
100,attack,rapidash
70,defense,rapidash
80,special-attack,rapidash
80,special-defense,rapidash
105,speed,rapidash
90,hp,slowpoke
65,attack,slowpoke
65,defense,slowpoke
40,special-attack,slowpoke
40,special-defense,slowpoke
15,speed,slowpoke
95,hp,slowbro
75,attack,slowbro
110,defense,slowbro
100,special-attack,slowbro
80,special-defense,slowbro
30,speed,slowbro
25,hp,magnemite
35,attack,magnemite
70,defense,magnemite
95,special-attack,magnemite
55,special-defense,magnemite
45,speed,magnemite
50,hp,magneton
60,attack,magneton
95,defense,magneton
120,special-attack,magneton
70,special-defense,magneton
70,speed,magneton
52,hp,farfetchd
90,attack,farfetchd
55,defense,farfetchd
58,special-attack,farfetchd
62,special-defense,farfetchd
60,speed,farfetchd
35,hp,doduo
85,attack,doduo
45,defense,doduo
35,special-attack,doduo
35,special-defense,doduo
75,speed,doduo
60,hp,dodrio
110,attack,dodrio
70,defense,dodrio
60,special-attack,dodrio
60,special-defense,dodrio
110,speed,dodrio
65,hp,seel
45,attack,seel
55,defense,seel
45,special-attack,seel
70,special-defense,seel
45,speed,seel
90,hp,dewgong
70,attack,dewgong
80,defense,dewgong
70,special-attack,dewgong
95,special-defense,dewgong
70,speed,dewgong
80,hp,grimer
80,attack,grimer
50,defense,grimer
40,special-attack,grimer
50,special-defense,grimer
25,speed,grimer
105,hp,muk
105,attack,muk
75,defense,muk
65,special-attack,muk
100,special-defense,muk
50,speed,muk
30,hp,shellder
65,attack,shellder
100,defense,shellder
45,special-attack,shellder
25,special-defense,shellder
40,speed,shellder
50,hp,cloyster
95,attack,cloyster
180,defense,cloyster
85,special-attack,cloyster
45,special-defense,cloyster
70,speed,cloyster
30,hp,gastly
35,attack,gastly
30,defense,gastly
100,special-attack,gastly
35,special-defense,gastly
80,speed,gastly
45,hp,haunter
50,attack,haunter
45,defense,haunter
115,special-attack,haunter
55,special-defense,haunter
95,speed,haunter
60,hp,gengar
65,attack,gengar
60,defense,gengar
130,special-attack,gengar
75,special-defense,gengar
110,speed,gengar
35,hp,onix
45,attack,onix
160,defense,onix
30,special-attack,onix
45,special-defense,onix
70,speed,onix
60,hp,drowzee
48,attack,drowzee
45,defense,drowzee
43,special-attack,drowzee
90,special-defense,drowzee
42,speed,drowzee
85,hp,hypno
73,attack,hypno
70,defense,hypno
73,special-attack,hypno
115,special-defense,hypno
67,speed,hypno
30,hp,krabby
105,attack,krabby
90,defense,krabby
25,special-attack,krabby
25,special-defense,krabby
50,speed,krabby
55,hp,kingler
130,attack,kingler
115,defense,kingler
50,special-attack,kingler
50,special-defense,kingler
75,speed,kingler
40,hp,voltorb
30,attack,voltorb
50,defense,voltorb
55,special-attack,voltorb
55,special-defense,voltorb
100,speed,voltorb
60,hp,electrode
50,attack,electrode
70,defense,electrode
80,special-attack,electrode
80,special-defense,electrode
150,speed,electrode
60,hp,exeggcute
40,attack,exeggcute
80,defense,exeggcute
60,special-attack,exeggcute
45,special-defense,exeggcute
40,speed,exeggcute
95,hp,exeggutor
95,attack,exeggutor
85,defense,exeggutor
125,special-attack,exeggutor
75,special-defense,exeggutor
55,speed,exeggutor
50,hp,cubone
50,attack,cubone
95,defense,cubone
40,special-attack,cubone
50,special-defense,cubone
35,speed,cubone
60,hp,marowak
80,attack,marowak
110,defense,marowak
50,special-attack,marowak
80,special-defense,marowak
45,speed,marowak
50,hp,hitmonlee
120,attack,hitmonlee
53,defense,hitmonlee
35,special-attack,hitmonlee
110,special-defense,hitmonlee
87,speed,hitmonlee
50,hp,hitmonchan
105,attack,hitmonchan
79,defense,hitmonchan
35,special-attack,hitmonchan
110,special-defense,hitmonchan
76,speed,hitmonchan
90,hp,lickitung
55,attack,lickitung
75,defense,lickitung
60,special-attack,lickitung
75,special-defense,lickitung
30,speed,lickitung
40,hp,koffing
65,attack,koffing
95,defense,koffing
60,special-attack,koffing
45,special-defense,koffing
35,speed,koffing
65,hp,weezing
90,attack,weezing
120,defense,weezing
85,special-attack,weezing
70,special-defense,weezing
60,speed,weezing
80,hp,rhyhorn
85,attack,rhyhorn
95,defense,rhyhorn
30,special-attack,rhyhorn
30,special-defense,rhyhorn
25,speed,rhyhorn
105,hp,rhydon
130,attack,rhydon
120,defense,rhydon
45,special-attack,rhydon
45,special-defense,rhydon
40,speed,rhydon
250,hp,chansey
5,attack,chansey
5,defense,chansey
35,special-attack,chansey
105,special-defense,chansey
50,speed,chansey
65,hp,tangela
55,attack,tangela
115,defense,tangela
100,special-attack,tangela
40,special-defense,tangela
60,speed,tangela
105,hp,kangaskhan
95,attack,kangaskhan
80,defense,kangaskhan
40,special-attack,kangaskhan
80,special-defense,kangaskhan
90,speed,kangaskhan
30,hp,horsea
40,attack,horsea
70,defense,horsea
70,special-attack,horsea
25,special-defense,horsea
60,speed,horsea
55,hp,seadra
65,attack,seadra
95,defense,seadra
95,special-attack,seadra
45,special-defense,seadra
85,speed,seadra
45,hp,goldeen
67,attack,goldeen
60,defense,goldeen
35,special-attack,goldeen
50,special-defense,goldeen
63,speed,goldeen
80,hp,seaking
92,attack,seaking
65,defense,seaking
65,special-attack,seaking
80,special-defense,seaking
68,speed,seaking
30,hp,staryu
45,attack,staryu
55,defense,staryu
70,special-attack,staryu
55,special-defense,staryu
85,speed,staryu
60,hp,starmie
75,attack,starmie
85,defense,starmie
100,special-attack,starmie
85,special-defense,starmie
115,speed,starmie
40,hp,mr-mime
45,attack,mr-mime
65,defense,mr-mime
100,special-attack,mr-mime
120,special-defense,mr-mime
90,speed,mr-mime
70,hp,scyther
110,attack,scyther
80,defense,scyther
55,special-attack,scyther
80,special-defense,scyther
105,speed,scyther
65,hp,jynx
50,attack,jynx
35,defense,jynx
115,special-attack,jynx
95,special-defense,jynx
95,speed,jynx
65,hp,electabuzz
83,attack,electabuzz
57,defense,electabuzz
95,special-attack,electabuzz
85,special-defense,electabuzz
105,speed,electabuzz
65,hp,magmar
95,attack,magmar
57,defense,magmar
100,special-attack,magmar
85,special-defense,magmar
93,speed,magmar
65,hp,pinsir
125,attack,pinsir
100,defense,pinsir
55,special-attack,pinsir
70,special-defense,pinsir
85,speed,pinsir
75,hp,tauros
100,attack,tauros
95,defense,tauros
40,special-attack,tauros
70,special-defense,tauros
110,speed,tauros
20,hp,magikarp
10,attack,magikarp
55,defense,magikarp
15,special-attack,magikarp
20,special-defense,magikarp
80,speed,magikarp
95,hp,gyarados
125,attack,gyarados
79,defense,gyarados
60,special-attack,gyarados
100,special-defense,gyarados
81,speed,gyarados
130,hp,lapras
85,attack,lapras
80,defense,lapras
85,special-attack,lapras
95,special-defense,lapras
60,speed,lapras
48,hp,ditto
48,attack,ditto
48,defense,ditto
48,special-attack,ditto
48,special-defense,ditto
48,speed,ditto
55,hp,eevee
55,attack,eevee
50,defense,eevee
45,special-attack,eevee
65,special-defense,eevee
55,speed,eevee
130,hp,vaporeon
65,attack,vaporeon
60,defense,vaporeon
110,special-attack,vaporeon
95,special-defense,vaporeon
65,speed,vaporeon
65,hp,jolteon
65,attack,jolteon
60,defense,jolteon
110,special-attack,jolteon
95,special-defense,jolteon
130,speed,jolteon
65,hp,flareon
130,attack,flareon
60,defense,flareon
95,special-attack,flareon
110,special-defense,flareon
65,speed,flareon
65,hp,porygon
60,attack,porygon
70,defense,porygon
85,special-attack,porygon
75,special-defense,porygon
40,speed,porygon
35,hp,omanyte
40,attack,omanyte
100,defense,omanyte
90,special-attack,omanyte
55,special-defense,omanyte
35,speed,omanyte
70,hp,omastar
60,attack,omastar
125,defense,omastar
115,special-attack,omastar
70,special-defense,omastar
55,speed,omastar
30,hp,kabuto
80,attack,kabuto
90,defense,kabuto
55,special-attack,kabuto
45,special-defense,kabuto
55,speed,kabuto
60,hp,kabutops
115,attack,kabutops
105,defense,kabutops
65,special-attack,kabutops
70,special-defense,kabutops
80,speed,kabutops
80,hp,aerodactyl
105,attack,aerodactyl
65,defense,aerodactyl
60,special-attack,aerodactyl
75,special-defense,aerodactyl
130,speed,aerodactyl
160,hp,snorlax
110,attack,snorlax
65,defense,snorlax
65,special-attack,snorlax
110,special-defense,snorlax
30,speed,snorlax
90,hp,articuno
85,attack,articuno
100,defense,articuno
95,special-attack,articuno
125,special-defense,articuno
85,speed,articuno
90,hp,zapdos
90,attack,zapdos
85,defense,zapdos
125,special-attack,zapdos
90,special-defense,zapdos
100,speed,zapdos
90,hp,moltres
100,attack,moltres
90,defense,moltres
125,special-attack,moltres
85,special-defense,moltres
90,speed,moltres
41,hp,dratini
64,attack,dratini
45,defense,dratini
50,special-attack,dratini
50,special-defense,dratini
50,speed,dratini
61,hp,dragonair
84,attack,dragonair
65,defense,dragonair
70,special-attack,dragonair
70,special-defense,dragonair
70,speed,dragonair
91,hp,dragonite
134,attack,dragonite
95,defense,dragonite
100,special-attack,dragonite
100,special-defense,dragonite
80,speed,dragonite
106,hp,mewtwo
110,attack,mewtwo
90,defense,mewtwo
154,special-attack,mewtwo
90,special-defense,mewtwo
130,speed,mewtwo
100,hp,mew
100,attack,mew
100,defense,mew
100,special-attack,mew
100,special-defense,mew
100,speed,mew
45,hp,chikorita
49,attack,chikorita
65,defense,chikorita
49,special-attack,chikorita
65,special-defense,chikorita
45,speed,chikorita
60,hp,bayleef
62,attack,bayleef
80,defense,bayleef
63,special-attack,bayleef
80,special-defense,bayleef
60,speed,bayleef
80,hp,meganium
82,attack,meganium
100,defense,meganium
83,special-attack,meganium
100,special-defense,meganium
80,speed,meganium
39,hp,cyndaquil
52,attack,cyndaquil
43,defense,cyndaquil
60,special-attack,cyndaquil
50,special-defense,cyndaquil
65,speed,cyndaquil
58,hp,quilava
64,attack,quilava
58,defense,quilava
80,special-attack,quilava
65,special-defense,quilava
80,speed,quilava
78,hp,typhlosion
84,attack,typhlosion
78,defense,typhlosion
109,special-attack,typhlosion
85,special-defense,typhlosion
100,speed,typhlosion
50,hp,totodile
65,attack,totodile
64,defense,totodile
44,special-attack,totodile
48,special-defense,totodile
43,speed,totodile
65,hp,croconaw
80,attack,croconaw
80,defense,croconaw
59,special-attack,croconaw
63,special-defense,croconaw
58,speed,croconaw
85,hp,feraligatr
105,attack,feraligatr
100,defense,feraligatr
79,special-attack,feraligatr
83,special-defense,feraligatr
78,speed,feraligatr
35,hp,sentret
46,attack,sentret
34,defense,sentret
35,special-attack,sentret
45,special-defense,sentret
20,speed,sentret
85,hp,furret
76,attack,furret
64,defense,furret
45,special-attack,furret
55,special-defense,furret
90,speed,furret
60,hp,hoothoot
30,attack,hoothoot
30,defense,hoothoot
36,special-attack,hoothoot
56,special-defense,hoothoot
50,speed,hoothoot
100,hp,noctowl
50,attack,noctowl
50,defense,noctowl
86,special-attack,noctowl
96,special-defense,noctowl
70,speed,noctowl
40,hp,ledyba
20,attack,ledyba
30,defense,ledyba
40,special-attack,ledyba
80,special-defense,ledyba
55,speed,ledyba
55,hp,ledian
35,attack,ledian
50,defense,ledian
55,special-attack,ledian
110,special-defense,ledian
85,speed,ledian
40,hp,spinarak
60,attack,spinarak
40,defense,spinarak
40,special-attack,spinarak
40,special-defense,spinarak
30,speed,spinarak
70,hp,ariados
90,attack,ariados
70,defense,ariados
60,special-attack,ariados
70,special-defense,ariados
40,speed,ariados
85,hp,crobat
90,attack,crobat
80,defense,crobat
70,special-attack,crobat
80,special-defense,crobat
130,speed,crobat
75,hp,chinchou
38,attack,chinchou
38,defense,chinchou
56,special-attack,chinchou
56,special-defense,chinchou
67,speed,chinchou
125,hp,lanturn
58,attack,lanturn
58,defense,lanturn
76,special-attack,lanturn
76,special-defense,lanturn
67,speed,lanturn
20,hp,pichu
40,attack,pichu
15,defense,pichu
35,special-attack,pichu
35,special-defense,pichu
60,speed,pichu
50,hp,cleffa
25,attack,cleffa
28,defense,cleffa
45,special-attack,cleffa
55,special-defense,cleffa
15,speed,cleffa
90,hp,igglybuff
30,attack,igglybuff
15,defense,igglybuff
40,special-attack,igglybuff
20,special-defense,igglybuff
15,speed,igglybuff
35,hp,togepi
20,attack,togepi
65,defense,togepi
40,special-attack,togepi
65,special-defense,togepi
20,speed,togepi
55,hp,togetic
40,attack,togetic
85,defense,togetic
80,special-attack,togetic
105,special-defense,togetic
40,speed,togetic
40,hp,natu
50,attack,natu
45,defense,natu
70,special-attack,natu
45,special-defense,natu
70,speed,natu
65,hp,xatu
75,attack,xatu
70,defense,xatu
95,special-attack,xatu
70,special-defense,xatu
95,speed,xatu
55,hp,mareep
40,attack,mareep
40,defense,mareep
65,special-attack,mareep
45,special-defense,mareep
35,speed,mareep
70,hp,flaaffy
55,attack,flaaffy
55,defense,flaaffy
80,special-attack,flaaffy
60,special-defense,flaaffy
45,speed,flaaffy
90,hp,ampharos
75,attack,ampharos
85,defense,ampharos
115,special-attack,ampharos
90,special-defense,ampharos
55,speed,ampharos
75,hp,bellossom
80,attack,bellossom
95,defense,bellossom
90,special-attack,bellossom
100,special-defense,bellossom
50,speed,bellossom
70,hp,marill
20,attack,marill
50,defense,marill
20,special-attack,marill
50,special-defense,marill
40,speed,marill
100,hp,azumarill
50,attack,azumarill
80,defense,azumarill
60,special-attack,azumarill
80,special-defense,azumarill
50,speed,azumarill
70,hp,sudowoodo
100,attack,sudowoodo
115,defense,sudowoodo
30,special-attack,sudowoodo
65,special-defense,sudowoodo
30,speed,sudowoodo
90,hp,politoed
75,attack,politoed
75,defense,politoed
90,special-attack,politoed
100,special-defense,politoed
70,speed,politoed
35,hp,hoppip
35,attack,hoppip
40,defense,hoppip
35,special-attack,hoppip
55,special-defense,hoppip
50,speed,hoppip
55,hp,skiploom
45,attack,skiploom
50,defense,skiploom
45,special-attack,skiploom
65,special-defense,skiploom
80,speed,skiploom
75,hp,jumpluff
55,attack,jumpluff
70,defense,jumpluff
55,special-attack,jumpluff
95,special-defense,jumpluff
110,speed,jumpluff
55,hp,aipom
70,attack,aipom
55,defense,aipom
40,special-attack,aipom
55,special-defense,aipom
85,speed,aipom
30,hp,sunkern
30,attack,sunkern
30,defense,sunkern
30,special-attack,sunkern
30,special-defense,sunkern
30,speed,sunkern
75,hp,sunflora
75,attack,sunflora
55,defense,sunflora
105,special-attack,sunflora
85,special-defense,sunflora
30,speed,sunflora
65,hp,yanma
65,attack,yanma
45,defense,yanma
75,special-attack,yanma
45,special-defense,yanma
95,speed,yanma
55,hp,wooper
45,attack,wooper
45,defense,wooper
25,special-attack,wooper
25,special-defense,wooper
15,speed,wooper
95,hp,quagsire
85,attack,quagsire
85,defense,quagsire
65,special-attack,quagsire
65,special-defense,quagsire
35,speed,quagsire
65,hp,espeon
65,attack,espeon
60,defense,espeon
130,special-attack,espeon
95,special-defense,espeon
110,speed,espeon
95,hp,umbreon
65,attack,umbreon
110,defense,umbreon
60,special-attack,umbreon
130,special-defense,umbreon
65,speed,umbreon
60,hp,murkrow
85,attack,murkrow
42,defense,murkrow
85,special-attack,murkrow
42,special-defense,murkrow
91,speed,murkrow
95,hp,slowking
75,attack,slowking
80,defense,slowking
100,special-attack,slowking
110,special-defense,slowking
30,speed,slowking
60,hp,misdreavus
60,attack,misdreavus
60,defense,misdreavus
85,special-attack,misdreavus
85,special-defense,misdreavus
85,speed,misdreavus
48,hp,unown
72,attack,unown
48,defense,unown
72,special-attack,unown
48,special-defense,unown
48,speed,unown
190,hp,wobbuffet
33,attack,wobbuffet
58,defense,wobbuffet
33,special-attack,wobbuffet
58,special-defense,wobbuffet
33,speed,wobbuffet
70,hp,girafarig
80,attack,girafarig
65,defense,girafarig
90,special-attack,girafarig
65,special-defense,girafarig
85,speed,girafarig
50,hp,pineco
65,attack,pineco
90,defense,pineco
35,special-attack,pineco
35,special-defense,pineco
15,speed,pineco
75,hp,forretress
90,attack,forretress
140,defense,forretress
60,special-attack,forretress
60,special-defense,forretress
40,speed,forretress
100,hp,dunsparce
70,attack,dunsparce
70,defense,dunsparce
65,special-attack,dunsparce
65,special-defense,dunsparce
45,speed,dunsparce
65,hp,gligar
75,attack,gligar
105,defense,gligar
35,special-attack,gligar
65,special-defense,gligar
85,speed,gligar
75,hp,steelix
85,attack,steelix
200,defense,steelix
55,special-attack,steelix
65,special-defense,steelix
30,speed,steelix
60,hp,snubbull
80,attack,snubbull
50,defense,snubbull
40,special-attack,snubbull
40,special-defense,snubbull
30,speed,snubbull
90,hp,granbull
120,attack,granbull
75,defense,granbull
60,special-attack,granbull
60,special-defense,granbull
45,speed,granbull
65,hp,qwilfish
95,attack,qwilfish
85,defense,qwilfish
55,special-attack,qwilfish
55,special-defense,qwilfish
85,speed,qwilfish
70,hp,scizor
130,attack,scizor
100,defense,scizor
55,special-attack,scizor
80,special-defense,scizor
65,speed,scizor
20,hp,shuckle
10,attack,shuckle
230,defense,shuckle
10,special-attack,shuckle
230,special-defense,shuckle
5,speed,shuckle
80,hp,heracross
125,attack,heracross
75,defense,heracross
40,special-attack,heracross
95,special-defense,heracross
85,speed,heracross
55,hp,sneasel
95,attack,sneasel
55,defense,sneasel
35,special-attack,sneasel
75,special-defense,sneasel
115,speed,sneasel
60,hp,teddiursa
80,attack,teddiursa
50,defense,teddiursa
50,special-attack,teddiursa
50,special-defense,teddiursa
40,speed,teddiursa
90,hp,ursaring
130,attack,ursaring
75,defense,ursaring
75,special-attack,ursaring
75,special-defense,ursaring
55,speed,ursaring
40,hp,slugma
40,attack,slugma
40,defense,slugma
70,special-attack,slugma
40,special-defense,slugma
20,speed,slugma
60,hp,magcargo
50,attack,magcargo
120,defense,magcargo
90,special-attack,magcargo
80,special-defense,magcargo
30,speed,magcargo
50,hp,swinub
50,attack,swinub
40,defense,swinub
30,special-attack,swinub
30,special-defense,swinub
50,speed,swinub
100,hp,piloswine
100,attack,piloswine
80,defense,piloswine
60,special-attack,piloswine
60,special-defense,piloswine
50,speed,piloswine
65,hp,corsola
55,attack,corsola
95,defense,corsola
65,special-attack,corsola
95,special-defense,corsola
35,speed,corsola
35,hp,remoraid
65,attack,remoraid
35,defense,remoraid
65,special-attack,remoraid
35,special-defense,remoraid
65,speed,remoraid
75,hp,octillery
105,attack,octillery
75,defense,octillery
105,special-attack,octillery
75,special-defense,octillery
